#FMR data, this file includes calibration measurements, correction factor and corrected S11
freq	S11m	S11o	S11l	S11s
(40000000+0j)	(50.05569562047272-0.041158312762336356j)	(50.05569562047272-0.041158312762336356j)	(50.05569562047272-0.041158312762336356j)	(50.05569562047272-0.041158312762336356j)	
(89900000+0j)	(50.717056274427264-0.3674250651488183j)	(50.717056274427264-0.3674250651488183j)	(50.717056274427264-0.3674250651488183j)	(50.717056274427264-0.3674250651488183j)	
(139800000+0j)	(50.31497018991818-0.10292562029572726j)	(50.31497018991818-0.10292562029572726j)	(50.31497018991818-0.10292562029572726j)	(50.31497018991818-0.10292562029572726j)	
(189700000+0j)	(48.2628857006+0.9445530772212727j)	(48.2628857006+0.9445530772212727j)	(48.2628857006+0.9445530772212727j)	(48.2628857006+0.9445530772212727j)	
(239600000+0j)	(49.363846518818185+0.8951169740067271j)	(49.363846518818185+0.8951169740067271j)	(49.363846518818185+0.8951169740067271j)	(49.363846518818185+0.8951169740067271j)	
(289500000+0j)	(52.52381064676363-0.4417695294726364j)	(52.52381064676363-0.4417695294726364j)	(52.52381064676363-0.4417695294726364j)	(52.52381064676363-0.4417695294726364j)	
(339400000+0j)	(51.59794686057271-1.2528573816490907j)	(51.59794686057271-1.2528573816490907j)	(51.59794686057271-1.2528573816490907j)	(51.59794686057271-1.2528573816490907j)	
(389300000+0j)	(45.46340734310909-1.0149475986318184j)	(45.46340734310909-1.0149475986318184j)	(45.46340734310909-1.0149475986318184j)	(45.46340734310909-1.0149475986318184j)	
(439200000+0j)	(47.460492567600014+1.7705368887290909j)	(47.460492567600014+1.7705368887290909j)	(47.460492567600014+1.7705368887290909j)	(47.460492567600014+1.7705368887290909j)	
(489100000+0j)	(56.06618465074545-0.29043181376063637j)	(56.06618465074545-0.29043181376063637j)	(56.06618465074545-0.29043181376063637j)	(56.06618465074545-0.29043181376063637j)	
(539000000+0j)	(54.68500796228181-2.5643770478018175j)	(54.68500796228181-2.5643770478018175j)	(54.68500796228181-2.5643770478018175j)	(54.68500796228181-2.5643770478018175j)	
(588900000+0j)	(44.09939575193636-1.6428500305536364j)	(44.09939575193636-1.6428500305536364j)	(44.09939575193636-1.6428500305536364j)	(44.09939575193636-1.6428500305536364j)	
(638800000+0j)	(44.669259851599996+2.228706273165454j)	(44.669259851599996+2.228706273165454j)	(44.669259851599996+2.228706273165454j)	(44.669259851599996+2.228706273165454j)	
(688700000+0j)	(55.614333412872725+5.451186526904545j)	(55.614333412872725+5.451186526904545j)	(55.614333412872725+5.451186526904545j)	(55.614333412872725+5.451186526904545j)	
(738600000+0j)	(58.708767630836356-0.9841978549957272j)	(58.708767630836356-0.9841978549957272j)	(58.708767630836356-0.9841978549957272j)	(58.708767630836356-0.9841978549957272j)	
(788500000+0j)	(42.74738623881817-5.255299221389092j)	(42.74738623881817-5.255299221389092j)	(42.74738623881817-5.255299221389092j)	(42.74738623881817-5.255299221389092j)	
(838400000+0j)	(41.560954353990915-0.12744829194127272j)	(41.560954353990915-0.12744829194127272j)	(41.560954353990915-0.12744829194127272j)	(41.560954353990915-0.12744829194127272j)	
(888300000+0j)	(55.02587959986365+7.253241278908182j)	(55.02587959986365+7.253241278908182j)	(55.02587959986365+7.253241278908182j)	(55.02587959986365+7.253241278908182j)	
(938200000+0j)	(61.53127462211817+0.5322086431767272j)	(61.53127462211817+0.5322086431767272j)	(61.53127462211817+0.5322086431767272j)	(61.53127462211817+0.5322086431767272j)	
(988100000+0j)	(45.24539219247272-7.298285571011816j)	(45.24539219247272-7.298285571011816j)	(45.24539219247272-7.298285571011816j)	(45.24539219247272-7.298285571011816j)	
(1038000000+0j)	(41.90001713147272-1.9032580310654543j)	(41.90001713147272-1.9032580310654543j)	(41.90001713147272-1.9032580310654543j)	(41.90001713147272-1.9032580310654543j)	
(1087900000+0j)	(52.795848499663634+8.233934662556363j)	(52.795848499663634+8.233934662556363j)	(52.795848499663634+8.233934662556363j)	(52.795848499663634+8.233934662556363j)	
(1137800000+0j)	(60.74026523936364+5.81892512061091j)	(60.74026523936364+5.81892512061091j)	(60.74026523936364+5.81892512061091j)	(60.74026523936364+5.81892512061091j)	
(1187700000+0j)	(46.201591144872715-4.630188768564545j)	(46.201591144872715-4.630188768564545j)	(46.201591144872715-4.630188768564545j)	(46.201591144872715-4.630188768564545j)	
(1237600000+0j)	(42.74572996659089-4.783652695746363j)	(42.74572996659089-4.783652695746363j)	(42.74572996659089-4.783652695746363j)	(42.74572996659089-4.783652695746363j)	
(1287500000+0j)	(50.735401500372724+4.914048411626363j)	(50.735401500372724+4.914048411626363j)	(50.735401500372724+4.914048411626363j)	(50.735401500372724+4.914048411626363j)	
(1337400000+0j)	(54.29031372070909+6.693747390400909j)	(54.29031372070909+6.693747390400909j)	(54.29031372070909+6.693747390400909j)	(54.29031372070909+6.693747390400909j)	
(1387300000+0j)	(47.54000577062727-3.386083256118181j)	(47.54000577062727-3.386083256118181j)	(47.54000577062727-3.386083256118181j)	(47.54000577062727-3.386083256118181j)	
(1437200000+0j)	(47.019209775072724-7.837823347611817j)	(47.019209775072724-7.837823347611817j)	(47.019209775072724-7.837823347611817j)	(47.019209775072724-7.837823347611817j)	
(1487100000+0j)	(54.06693094429999+0.9032977819442727j)	(54.06693094429999+0.9032977819442727j)	(54.06693094429999+0.9032977819442727j)	(54.06693094429999+0.9032977819442727j)	
(1537000000+0j)	(50.743814641809095+5.397122859950909j)	(50.743814641809095+5.397122859950909j)	(50.743814641809095+5.397122859950909j)	(50.743814641809095+5.397122859950909j)	
(1586900000+0j)	(46.47793475066363+2.938844030554546j)	(46.47793475066363+2.938844030554546j)	(46.47793475066363+2.938844030554546j)	(46.47793475066363+2.938844030554546j)	
(1636800000+0j)	(52.731805628018186-4.013549587946364j)	(52.731805628018186-4.013549587946364j)	(52.731805628018186-4.013549587946364j)	(52.731805628018186-4.013549587946364j)	
(1686700000+0j)	(55.47261706269091-2.9329084916536368j)	(55.47261706269091-2.9329084916536368j)	(55.47261706269091-2.9329084916536368j)	(55.47261706269091-2.9329084916536368j)	
(1736600000+0j)	(46.16403406318182+4.099038904363637j)	(46.16403406318182+4.099038904363637j)	(46.16403406318182+4.099038904363637j)	(46.16403406318182+4.099038904363637j)	
(1786500000+0j)	(40.12224093346363+2.659291592509091j)	(40.12224093346363+2.659291592509091j)	(40.12224093346363+2.659291592509091j)	(40.12224093346363+2.659291592509091j)	
(1836400000+0j)	(52.53284315631816-0.901476616209182j)	(52.53284315631816-0.901476616209182j)	(52.53284315631816-0.901476616209182j)	(52.53284315631816-0.901476616209182j)	
(1886300000+0j)	(65.13949862390909-5.661192373798182j)	(65.13949862390909-5.661192373798182j)	(65.13949862390909-5.661192373798182j)	(65.13949862390909-5.661192373798182j)	
(1936200000+0j)	(46.52417200261819-5.270940217106364j)	(46.52417200261819-5.270940217106364j)	(46.52417200261819-5.270940217106364j)	(46.52417200261819-5.270940217106364j)	
(1986100000+0j)	(36.32006523828181+3.1987093361981818j)	(36.32006523828181+3.1987093361981818j)	(36.32006523828181+3.1987093361981818j)	(36.32006523828181+3.1987093361981818j)	
(2036000000+0j)	(53.928349581609076+5.775763251566365j)	(53.928349581609076+5.775763251566365j)	(53.928349581609076+5.775763251566365j)	(53.928349581609076+5.775763251566365j)	
(2085900000+0j)	(75.03347431529092-1.155002854089091j)	(75.03347431529092-1.155002854089091j)	(75.03347431529092-1.155002854089091j)	(75.03347431529092-1.155002854089091j)	
(2135800000+0j)	(48.66089907557272-6.988617593589999j)	(48.66089907557272-6.988617593589999j)	(48.66089907557272-6.988617593589999j)	(48.66089907557272-6.988617593589999j)	
(2185700000+0j)	(32.2975023443+1.235533519226364j)	(32.2975023443+1.235533519226364j)	(32.2975023443+1.235533519226364j)	(32.2975023443+1.235533519226364j)	
(2235600000+0j)	(46.71086432718182+9.082380381496362j)	(46.71086432718182+9.082380381496362j)	(46.71086432718182+9.082380381496362j)	(46.71086432718182+9.082380381496362j)	
(2285500000+0j)	(76.7454397028+4.354213541209091j)	(76.7454397028+4.354213541209091j)	(76.7454397028+4.354213541209091j)	(76.7454397028+4.354213541209091j)	
(2335400000+0j)	(52.21094131470909-11.949000965463638j)	(52.21094131470909-11.949000965463638j)	(52.21094131470909-11.949000965463638j)	(52.21094131470909-11.949000965463638j)	
(2385300000+0j)	(29.99709059977272-3.387806328857273j)	(29.99709059977272-3.387806328857273j)	(29.99709059977272-3.387806328857273j)	(29.99709059977272-3.387806328857273j)	
(2435200000+0j)	(44.78261670200909+7.760219573972727j)	(44.78261670200909+7.760219573972727j)	(44.78261670200909+7.760219573972727j)	(44.78261670200909+7.760219573972727j)	
(2485100000+0j)	(81.30094979024544+9.716993071818182j)	(81.30094979024544+9.716993071818182j)	(81.30094979024544+9.716993071818182j)	(81.30094979024544+9.716993071818182j)	
(2535000000+0j)	(57.11851952296363-12.449774915527275j)	(57.11851952296363-12.449774915527275j)	(57.11851952296363-12.449774915527275j)	(57.11851952296363-12.449774915527275j)	
(2584900000+0j)	(33.164463736799995-2.5855833617127275j)	(33.164463736799995-2.5855833617127275j)	(33.164463736799995-2.5855833617127275j)	(33.164463736799995-2.5855833617127275j)	
(2634800000+0j)	(41.71444008570909+7.798566254700909j)	(41.71444008570909+7.798566254700909j)	(41.71444008570909+7.798566254700909j)	(41.71444008570909+7.798566254700909j)	
(2684700000+0j)	(75.42238270151816+8.941311402751817j)	(75.42238270151816+8.941311402751817j)	(75.42238270151816+8.941311402751817j)	(75.42238270151816+8.941311402751817j)	
(2734600000+0j)	(55.32240676876363-5.5040756138881815j)	(55.32240676876363-5.5040756138881815j)	(55.32240676876363-5.5040756138881815j)	(55.32240676876363-5.5040756138881815j)	
(2784500000+0j)	(34.91316604612727-2.680027940053636j)	(34.91316604612727-2.680027940053636j)	(34.91316604612727-2.680027940053636j)	(34.91316604612727-2.680027940053636j)	
(2834400000+0j)	(41.157553932845445+2.587985342199091j)	(41.157553932845445+2.587985342199091j)	(41.157553932845445+2.587985342199091j)	(41.157553932845445+2.587985342199091j)	
(2884300000+0j)	(67.94525840066365+1.716162128879091j)	(67.94525840066365+1.716162128879091j)	(67.94525840066365+1.716162128879091j)	(67.94525840066365+1.716162128879091j)	
(2934200000+0j)	(57.85908161512727-3.8143700252854553j)	(57.85908161512727-3.8143700252854553j)	(57.85908161512727-3.8143700252854553j)	(57.85908161512727-3.8143700252854553j)	
(2984100000+0j)	(37.48697905102728-1.8387937112318182j)	(37.48697905102728-1.8387937112318182j)	(37.48697905102728-1.8387937112318182j)	(37.48697905102728-1.8387937112318182j)	
(3034000000+0j)	(46.14623711324545+1.5062591379327277j)	(46.14623711324545+1.5062591379327277j)	(46.14623711324545+1.5062591379327277j)	(46.14623711324545+1.5062591379327277j)	
(3083900000+0j)	(66.52467554266364+0.6751050082119999j)	(66.52467554266364+0.6751050082119999j)	(66.52467554266364+0.6751050082119999j)	(66.52467554266364+0.6751050082119999j)	
(3133800000+0j)	(54.72267879137273-1.5452456691045453j)	(54.72267879137273-1.5452456691045453j)	(54.72267879137273-1.5452456691045453j)	(54.72267879137273-1.5452456691045453j)	
(3183700000+0j)	(39.11244791206364+3.0318087664472726j)	(39.11244791206364+3.0318087664472726j)	(39.11244791206364+3.0318087664472726j)	(39.11244791206364+3.0318087664472726j)	
(3233600000+0j)	(45.095726013200014+2.7785546779599994j)	(45.095726013200014+2.7785546779599994j)	(45.095726013200014+2.7785546779599994j)	(45.095726013200014+2.7785546779599994j)	
(3283500000+0j)	(64.87445831299999-5.744794845580002j)	(64.87445831299999-5.744794845580002j)	(64.87445831299999-5.744794845580002j)	(64.87445831299999-5.744794845580002j)	
(3333400000+0j)	(49.6564865112-1.8589485883699999j)	(49.6564865112-1.8589485883699999j)	(49.6564865112-1.8589485883699999j)	(49.6564865112-1.8589485883699999j)	
(3383300000+0j)	(39.010734558100005+3.592662811279999j)	(39.010734558100005+3.592662811279999j)	(39.010734558100005+3.592662811279999j)	(39.010734558100005+3.592662811279999j)	
(3433200000+0j)	(48.939727783200006+1.6365832090399999j)	(48.939727783200006+1.6365832090399999j)	(48.939727783200006+1.6365832090399999j)	(48.939727783200006+1.6365832090399999j)	
(3483100000+0j)	(63.43007659909998-10.003690719600002j)	(63.43007659909998-10.003690719600002j)	(63.43007659909998-10.003690719600002j)	(63.43007659909998-10.003690719600002j)	
(3533000000+0j)	(49.8648796082-2.71869587898j)	(49.8648796082-2.71869587898j)	(49.8648796082-2.71869587898j)	(49.8648796082-2.71869587898j)	
(3582900000+0j)	(41.625972747800006+7.338563919069999j)	(41.625972747800006+7.338563919069999j)	(41.625972747800006+7.338563919069999j)	(41.625972747800006+7.338563919069999j)	
(3632800000+0j)	(52.2893218994+1.8391087055200004j)	(52.2893218994+1.8391087055200004j)	(52.2893218994+1.8391087055200004j)	(52.2893218994+1.8391087055200004j)	
(3682700000+0j)	(58.19630432129999-8.197794914249998j)	(58.19630432129999-8.197794914249998j)	(58.19630432129999-8.197794914249998j)	(58.19630432129999-8.197794914249998j)	
(3732600000+0j)	(47.460521697999994-0.95799279213j)	(47.460521697999994-0.95799279213j)	(47.460521697999994-0.95799279213j)	(47.460521697999994-0.95799279213j)	
(3782500000+0j)	(42.2741775513+9.669456481929998j)	(42.2741775513+9.669456481929998j)	(42.2741775513+9.669456481929998j)	(42.2741775513+9.669456481929998j)	
(3832400000+0j)	(52.8091392517+1.5741505622900005j)	(52.8091392517+1.5741505622900005j)	(52.8091392517+1.5741505622900005j)	(52.8091392517+1.5741505622900005j)	
(3882300000+0j)	(51.8766670227-14.154390335099999j)	(51.8766670227-14.154390335099999j)	(51.8766670227-14.154390335099999j)	(51.8766670227-14.154390335099999j)	
(3932200000+0j)	(44.66551971439999-0.864015042782j)	(44.66551971439999-0.864015042782j)	(44.66551971439999-0.864015042782j)	(44.66551971439999-0.864015042782j)	
(3982100000+0j)	(44.896148681599996+11.129852294900003j)	(44.896148681599996+11.129852294900003j)	(44.896148681599996+11.129852294900003j)	(44.896148681599996+11.129852294900003j)	
(4032000000+0j)	(59.522186279300016+0.278913229704j)	(59.522186279300016+0.278913229704j)	(59.522186279300016+0.278913229704j)	(59.522186279300016+0.278913229704j)	
(4081900000+0j)	(52.328979492199984-19.067100524900003j)	(52.328979492199984-19.067100524900003j)	(52.328979492199984-19.067100524900003j)	(52.328979492199984-19.067100524900003j)	
(4131800000+0j)	(42.100650787400006-0.12116605788499997j)	(42.100650787400006-0.12116605788499997j)	(42.100650787400006-0.12116605788499997j)	(42.100650787400006-0.12116605788499997j)	
(4181700000+0j)	(40.346088409400004+16.752706527700003j)	(40.346088409400004+16.752706527700003j)	(40.346088409400004+16.752706527700003j)	(40.346088409400004+16.752706527700003j)	
(4231600000+0j)	(66.93169403080002+6.704412937159998j)	(66.93169403080002+6.704412937159998j)	(66.93169403080002+6.704412937159998j)	(66.93169403080002+6.704412937159998j)	
(4281500000+0j)	(49.462600708000004-24.446367263800003j)	(49.462600708000004-24.446367263800003j)	(49.462600708000004-24.446367263800003j)	(49.462600708000004-24.446367263800003j)	
(4331400000+0j)	(35.0099906921-1.1072286367400002j)	(35.0099906921-1.1072286367400002j)	(35.0099906921-1.1072286367400002j)	(35.0099906921-1.1072286367400002j)	
(4381300000+0j)	(38.81831359860001+18.608514785799997j)	(38.81831359860001+18.608514785799997j)	(38.81831359860001+18.608514785799997j)	(38.81831359860001+18.608514785799997j)	
(4431200000+0j)	(67.79078674319999+4.356947422030001j)	(67.79078674319999+4.356947422030001j)	(67.79078674319999+4.356947422030001j)	(67.79078674319999+4.356947422030001j)	
(4481100000+0j)	(55.2734794617-30.0797939301j)	(55.2734794617-30.0797939301j)	(55.2734794617-30.0797939301j)	(55.2734794617-30.0797939301j)	
(4531000000+0j)	(35.44965362549999-4.933362483979999j)	(35.44965362549999-4.933362483979999j)	(35.44965362549999-4.933362483979999j)	(35.44965362549999-4.933362483979999j)	
(4580900000+0j)	(36.30305862429999+17.554082870499997j)	(36.30305862429999+17.554082870499997j)	(36.30305862429999+17.554082870499997j)	(36.30305862429999+17.554082870499997j)	
(4630800000+0j)	(69.8604736328+10.007961273199998j)	(69.8604736328+10.007961273199998j)	(69.8604736328+10.007961273199998j)	(69.8604736328+10.007961273199998j)	
(4680700000+0j)	(61.49068069459999-23.183719634999996j)	(61.49068069459999-23.183719634999996j)	(61.49068069459999-23.183719634999996j)	(61.49068069459999-23.183719634999996j)	
(4730600000+0j)	(38.26924133299999-5.811749935149999j)	(38.26924133299999-5.811749935149999j)	(38.26924133299999-5.811749935149999j)	(38.26924133299999-5.811749935149999j)	
(4780500000+0j)	(33.96919250489999+12.982398986800002j)	(33.96919250489999+12.982398986800002j)	(33.96919250489999+12.982398986800002j)	(33.96919250489999+12.982398986800002j)	
(4830400000+0j)	(58.33905029299999+9.65308952332j)	(58.33905029299999+9.65308952332j)	(58.33905029299999+9.65308952332j)	(58.33905029299999+9.65308952332j)	
(4880300000+0j)	(64.54824066159999-17.845182418799997j)	(64.54824066159999-17.845182418799997j)	(64.54824066159999-17.845182418799997j)	(64.54824066159999-17.845182418799997j)	
(4930200000+0j)	(42.140121459999996-7.820552349089998j)	(42.140121459999996-7.820552349089998j)	(42.140121459999996-7.820552349089998j)	(42.140121459999996-7.820552349089998j)	
(4980100000+0j)	(38.225341796900004+8.344803810119998j)	(38.225341796900004+8.344803810119998j)	(38.225341796900004+8.344803810119998j)	(38.225341796900004+8.344803810119998j)	
(5030000000+0j)	(54.567024230999984+2.86774635315j)	(54.567024230999984+2.86774635315j)	(54.567024230999984+2.86774635315j)	(54.567024230999984+2.86774635315j)	
(5079900000+0j)	(61.07146072390001-10.377660751299999j)	(61.07146072390001-10.377660751299999j)	(61.07146072390001-10.377660751299999j)	(61.07146072390001-10.377660751299999j)	
(5129800000+0j)	(49.9683189392+0.6463637351990003j)	(49.9683189392+0.6463637351990003j)	(49.9683189392+0.6463637351990003j)	(49.9683189392+0.6463637351990003j)	
(5179700000+0j)	(44.985004425+7.769104003909999j)	(44.985004425+7.769104003909999j)	(44.985004425+7.769104003909999j)	(44.985004425+7.769104003909999j)	
(5229600000+0j)	(47.75520706179999-3.88599872589j)	(47.75520706179999-3.88599872589j)	(47.75520706179999-3.88599872589j)	(47.75520706179999-3.88599872589j)	
(5279500000+0j)	(50.882392883299985-5.359820365910001j)	(50.882392883299985-5.359820365910001j)	(50.882392883299985-5.359820365910001j)	(50.882392883299985-5.359820365910001j)	
(5329400000+0j)	(48.6956634521+8.717326164249998j)	(48.6956634521+8.717326164249998j)	(48.6956634521+8.717326164249998j)	(48.6956634521+8.717326164249998j)	
(5379300000+0j)	(52.51284408569999+7.665990829470002j)	(52.51284408569999+7.665990829470002j)	(52.51284408569999+7.665990829470002j)	(52.51284408569999+7.665990829470002j)	
(5429200000+0j)	(45.684207916300004-13.981966972399997j)	(45.684207916300004-13.981966972399997j)	(45.684207916300004-13.981966972399997j)	(45.684207916300004-13.981966972399997j)	
(5479100000+0j)	(42.82482910160001-9.707886695859997j)	(42.82482910160001-9.707886695859997j)	(42.82482910160001-9.707886695859997j)	(42.82482910160001-9.707886695859997j)	
(5529000000+0j)	(48.6655845642+16.623693466199995j)	(48.6655845642+16.623693466199995j)	(48.6655845642+16.623693466199995j)	(48.6655845642+16.623693466199995j)	
(5578900000+0j)	(59.515476226800004+12.872273445100001j)	(59.515476226800004+12.872273445100001j)	(59.515476226800004+12.872273445100001j)	(59.515476226800004+12.872273445100001j)	
(5628800000+0j)	(50.603012084999996-16.674772262600005j)	(50.603012084999996-16.674772262600005j)	(50.603012084999996-16.674772262600005j)	(50.603012084999996-16.674772262600005j)	
(5678700000+0j)	(39.034214019800004-13.015229225199997j)	(39.034214019800004-13.015229225199997j)	(39.034214019800004-13.015229225199997j)	(39.034214019800004-13.015229225199997j)	
(5728600000+0j)	(42.15046691890001+19.3270015717j)	(42.15046691890001+19.3270015717j)	(42.15046691890001+19.3270015717j)	(42.15046691890001+19.3270015717j)	
(5778500000+0j)	(58.58534622189999+20.996116638199997j)	(58.58534622189999+20.996116638199997j)	(58.58534622189999+20.996116638199997j)	(58.58534622189999+20.996116638199997j)	
(5828400000+0j)	(48.44638824460001-21.254362106299997j)	(48.44638824460001-21.254362106299997j)	(48.44638824460001-21.254362106299997j)	(48.44638824460001-21.254362106299997j)	
(5878300000+0j)	(39.53364944460001-11.022281646699998j)	(39.53364944460001-11.022281646699998j)	(39.53364944460001-11.022281646699998j)	(39.53364944460001-11.022281646699998j)	
(5928200000+0j)	(43.2227401733+8.250208854679999j)	(43.2227401733+8.250208854679999j)	(43.2227401733+8.250208854679999j)	(43.2227401733+8.250208854679999j)	
