#Voltage is given as the input value that the daq board reads, it is from 0 to 4095 which corrisponds to -10V to 10V with 0V at 2048
#the magnetic flux is measured with magnet-physik and is measured in gauss, the current is measured as the current that flows through the power supply into the coil
#V B delta_B I
0 -185 0.45 1.91
100 -175.5 0.3 1.81
200 -166.5 0.4 1.72
300 -157.9 0.3 1.64
400 -148.7 0.3 1.54
500 -140.0 0.2 1.46
600 -131.0 0.2 1.37
700 -121.9 0.1 1.28
800 -113 0.1 1.19
900 -104 0.1 1.10
1000 -95.2 0.1 1.01
1100 -86.0 0.1 0.92
1200 -77.0 0.1 0.82
1300 -68.0 0.1 0.73
1400 -58.9 0.1 0.64
1500 -49.9 0.1 0.55
1600 -40.8 0.1 0.46
1700 -31.6 0.1 0.36
1800 -22.5 0.1 0.27
1900 -13.4 0.1 0.19
2000 -4.3 0.1 0.098
2100 4.8 0.1 0.073
2200 13.9 0.1 0.156
2300 23.0 0.1 0.249
2400 32.2 0.1 0.340
2500 41.2 0.1 0.439
2600 50.4 0.1 0.529
2700 59.5 0.1 0.622
2800 68.6 0.1 0.72
2900 77.6 0.1 0.81
3000 86.7 0.1 0.91
3100 95.7 0.1 0.999
3200 104.7 0.1 1.09
3300 113.6 0.1 1.183
3400 122.9 0.1 1.28
3500 131.6 0.1 1.369
3600 140.6 0.1 1.459
3700 149.5 0.3 1.55
3800 158.2 0.2 1.65
3900 167.2 0.2 1.74
4000 175.8 0.4 1.83
4095 184.1 0.3 1.91
