#Voltage is given as the input value that the daq board reads, it is from 0 to 4095 which corrisponds to -10V to 10V with 0V at 2048
#the magnetic flux is measured with magnet-physik and is measured in gauss, the current is measured as the current that flows through the power supply into the coil
#V B delta_B I
0 -102 0.1 1.908
100 -96.8 0.1 1.82
200 -91.8 0.1 1.73
300 -86.8 0.1 1.63
400 -82.0 0.1 1.54
500 -77.0 0.1 1.45
600 -71.8 0.1 1.36
700 -66.8 0.1 1.27
800 -62.0 0.1 1.17
900 -57.0 0.1 1.09
1000 -52.4 0.1 1.00
1100 -47.4 0.1 0.913
1200 -42.4 0.1 0.82
1300 -37.4 0.1 0.73
1400 -32.4 0.1 0.64
1500 -27.4 0.1 0.54
1600 -22.4 0.1 0.45
1700 -17.4 0.1 0.36
1800 -12.4 0.1 0.27
1900 -7.4 0.1 0.18
2000 -2.4 0.1 0.94
2100 2.5 0.1 0.071
2200 7.6 0.1 0.15
2300 12.6 0.1 0.25
2400 17.6 0.1 0.34
2500 22.6 0.1 0.438
2600 27.6 0.1 0.529
2700 32.6 0.1 0.62
2800 37.6 0.1 0.72
2900 42.6 0.1 0.81
3000 47.5 0.1 0.9
3100 52.5 0.1 0.99
3200 57.5 0.1 1.09
3300 62.4 0.1 1.18
3400 67.2 0.1 1.28
3500 72.2 0.1 1.37
3600 77.1 0.1 1.46
3700 81.7 0.1 1.55
3800 86.9 0.1 1.64
3900 91.6 0.1 1.73
4000 96.3 0.1 1.82
4095 101.1 0.1 1.91
