#FMR data, this file includes calibration measurements, correction factor and corrected S11
freq	S11a	S11m	S11o	S11l	S11s	Za	Edf	Erf	Esf
40000000.0	(-0.9971726172721029-0.0013621469327303134j)	(45.67268977444705+0.15476440594488236j)	(58.75081701838235+5.238436839155882j)	(49.943998673364696+0.03907709897440586j)	(45.665290608094104+0.16027954045452938j)	(0.07076134414107378-0.0341501447569171j)	(49.943998673364696+0.03907709897440586j)	(6.180971172583811+0.8383556703683607j)	(0.4378841489719249+0.23666740622213686j)	
47400000.0	(-0.9992270722813444+1.2837997589174085e-06j)	(44.83186766677057+0.23635497513964712j)	(55.79093461879997-5.947595035330588j)	(50.09596701229412+0.01468320738742352j)	(44.82885719751176+0.23557235826429418j)	(0.019330663548609617+3.211981547138489e-05j)	(50.09596701229412+0.01468320738742352j)	(6.519444807848727-2.2817794563560305j)	(0.2537279659579634-0.3806346594290311j)	
54800000.0	(-0.9997402965638736-4.926016987002063e-05j)	(42.57534161738824+1.2466129765776468j)	(54.470215516970605-5.586569954365882j)	(50.32877529367647+0.02239529821362941j)	(42.57330456902354+1.2464715102123523j)	(0.006493398742208627-0.00123182413419323j)	(50.32877529367647+0.02239529821362941j)	(6.718602561058745-4.306220235308594j)	(-0.06924444506783642-0.40834458845464666j)	
62200000.0	(-0.9994535612267578+0.0003207661202870164j)	(40.88020167629412+7.318205861481177j)	(56.07088739731174-8.984378926897058j)	(50.5681365517941+0.13458325144123526j)	(40.872241749517634+7.317402839665294j)	(0.013663415601736811+0.008023536573322722j)	(50.5681365517941+0.13458325144123526j)	(7.654117008981899-8.626280725328042j)	(-0.0647563859814009-0.1968456355720439j)	
69600000.0	(-0.9995530217381301-2.4810429376702177e-05j)	(47.264273699564704+11.392242824317648j)	(45.4035505406765-15.677753785052944j)	(50.756486331711784+0.27549432305747046j)	(47.26224113915883+11.395927485288235j)	(0.011176946774960792-0.0006205380703559139j)	(50.756486331711784+0.27549432305747046j)	(0.7118227403699624-14.438374182756796j)	(0.1999979277939719-0.3130511374072485j)	
77000000.0	(-0.9993848039343538+0.0001748746181177474j)	(50.52689249372352+9.636292906372354j)	(40.800453410435296-7.116927792044705j)	(50.7661229301588+0.44190803170194104j)	(50.52395854274119+9.639781615316469j)	(0.015384251307169625+0.004374556215366191j)	(50.7661229301588+0.44190803170194104j)	(-4.293788243509898-11.077817291645262j)	(0.1912724993989372-0.4981881928381075j)	
84400000.0	(-0.999945687954786-0.0008074479608186679j)	(51.75389525467647+9.061846284302353j)	(40.10659520768233-5.093353047089998j)	(50.57916035369411+0.46874009861682364j)	(51.75903903740587+9.063576025117642j)	(0.0013496876885676545-0.020187292128314046j)	(50.57916035369411+0.46874009861682364j)	(-5.675847370272069-9.679735993634933j)	(0.19437404591942214-0.4964179572012173j)	
91800000.0	(-0.9998261134487634+0.000254885198173759j)	(52.44314664953531+10.0417301515j)	(35.960274415835286-3.801418262367646j)	(50.24632308061176+0.2307009451526471j)	(52.44107055662939+10.042596031605882j)	(0.004346729477796369+0.006373238023036171j)	(50.24632308061176+0.2307009451526471j)	(-8.322474118541335-11.093453015540945j)	(0.2574267743030734-0.5669383773826584j)	
99200000.0	(-0.9995177602710411-1.1195778845668676e-05j)	(53.86074088598823+12.77631821352941j)	(31.60270051395882+4.528903905084118j)	(49.923664093047044-0.2807265187008823j)	(53.85953925640002+12.780263171482352j)	(0.01205889929656222-0.0002800294962007143j)	(49.923664093047044-0.2807265187008823j)	(-17.113545073735235-13.456970134999642j)	(0.3065207815867374-0.9165647215908289j)	
106600000.0	(-1.0001865477788598-1.0509622956462894e-05j)	(59.76578701240001+16.696226344376463j)	(37.222799413335274+12.42915882782353j)	(49.74124123064705-0.9459179219081172j)	(59.767017588876456+16.69419647664117j)	(-0.004663260891410066-0.0002626915670905313j)	(49.74124123064705-0.9459179219081172j)	(-32.36277913671403-1.5717539304151593j)	(-0.14453095145601963-1.3484060951770773j)	
