#FMR data, this file includes calibration measurements, correction factor and corrected S11
freq	S11a	S11m	S11o	S11l	S11s	Za	Edf	Erf	Esf
40000000.0	(-1.0000287862605064-0.0005839364477495955j)	(45.67192683499411+0.15420415296317644j)	(58.7581870135294+5.231148523445883j)	(49.94786565441763+0.03895223425588824j)	(45.67233366124118+0.15587134133388228j)	(-0.0007239082424863852-0.014597989724768537j)	(49.94786565441763+0.03895223425588824j)	(6.175825467473882+0.8401887530027811j)	(0.43800862149088954+0.23583484782880465j)	
89900000.0	(-0.9995543804571939+0.0004021260024361087j)	(52.24624566472939+9.65063162410882j)	(45.017460766958834-15.503792538347057j)	(50.7640243979059+0.278448960360294j)	(52.24356864478821+9.654173738815883j)	(0.011140948664896962+0.010057631031948781j)	(50.7640243979059+0.278448960360294j)	(-2.7296885880298527-11.871402320785798j)	(0.2802476886158339-0.0891136957938248j)	
139800000.0	(-0.9995314247336644+0.00044702533261007786j)	(64.67849282659998-9.917530115916472j)	(31.674759135535307+5.077644600586471j)	(49.91207055486472-0.31052030885894116j)	(64.6893629186412-9.917024668525881j)	(0.011714627184327654+0.011180871222664198j)	(49.91207055486472-0.31052030885894116j)	(-16.746859662685136+7.830624877985206j)	(0.03877273472722066+0.14538183816009712j)	
189700000.0	(-0.9997191858272768+0.00013111686488611232j)	(36.27984304990587-13.7128426047j)	(64.57702771354117+25.410663604735294j)	(50.61429393993528-1.9297652384835293j)	(36.27728922225294-13.716576968952939j)	(0.007021125178048227+0.0032788422888058773j)	(50.61429393993528-1.9297652384835293j)	(15.714681164783734+17.605810483434997j)	(0.2564431796218483+0.19504431575941916j)	
239600000.0	(-0.9995145826142341+0.0007668976851905035j)	(30.928382761376476+14.565978947776468j)	(67.75501475612941-33.13872685155883j)	(49.30072290758824+0.8746182778302938j)	(30.914382373552925+14.55782480801176j)	(0.012131023729479289+0.019181749334079234j)	(49.30072290758824+0.8746182778302938j)	(20.498236617731955-21.120551246702988j)	(0.26765670562076627-0.2053123473557301j)	
289500000.0	(-0.9998498589524991+0.0010120246246292585j)	(82.4978009392412+28.35263970320587j)	(24.034739101635285-13.061820366841179j)	(48.105148091070575-1.5531120300299994j)	(82.45555294258824+28.39884757997058j)	(0.003741002684435642+0.025304408224328785j)	(48.105148091070575-1.5531120300299994j)	(-29.01327371084645-17.62487788167997j)	(-0.26602513001772415-0.12690120531700189j)	
339400000.0	(-0.9998232480136152-6.910668191301653e-05j)	(46.396601059835284-40.33749142817648j)	(27.221686419317646+24.607937644511765j)	(51.046495325441185+1.6706204344252942j)	(46.3896877064647-40.34192635034705j)	(0.004419130497444918-0.0017279724548301277j)	(51.046495325441185+1.6706204344252942j)	(-16.343755914710368+37.913589206070384j)	(-0.1511150137629957+0.4831140109223345j)	
389300000.0	(-0.9991900684673707+0.0005535105745672585j)	(17.71534773884117+0.29107353441835304j)	(105.07474876841171+47.232960644929406j)	(45.70351881142353+1.8661822571482358j)	(17.699288873147058+0.28236569551882346j)	(0.020252657170746497+0.013848977756024653j)	(45.70351881142353+1.8661822571482358j)	(41.27729016292345+9.052843115679478j)	(0.4874911418855726+0.23913994509560244j)	
439200000.0	(-0.9997357622175433+0.00023503313439115475j)	(39.31694165400587+47.62762383853531j)	(31.526493409129397-47.58294655298826j)	(52.81233394848822-1.6035494313541172j)	(39.300343681758825+47.63140420354707j)	(0.006606126665883817+0.0058773812021948625j)	(52.81233394848822-1.6035494313541172j)	(-4.55763578508466-53.96503204219369j)	(-0.004324094385492186-0.36582138502913625j)	
489100000.0	(-0.9995759468600267+0.0010881664872927149j)	(114.25932581264706-65.96494158577646j)	(14.475577690994124+8.512450049907649j)	(53.4729423523412+4.8304734791058825j)	(114.42909958794117-66.0006821576765j)	(0.010588765996104562+0.02721569380267403j)	(53.4729423523412+4.8304734791058825j)	(-55.85576693854801+18.12189221805628j)	(-0.4631277368299711+0.3265525832718725j)	
539000000.0	(-0.9998619289602715+0.0007653574953977066j)	(14.326701725252939-20.446073307682354j)	(39.5053919623706+61.25379136027647j)	(48.25484152405293-4.702031780691764j)	(14.323464113088232-20.464486178252933j)	(0.0034446906380156857+0.019136576698363026j)	(48.25484152405293-4.702031780691764j)	(37.73448670242679+44.33818590118252j)	(0.413967107978531+0.6498584945418094j)	
588900000.0	(-0.9994790247852872+0.0006043827330290535j)	(16.43087050497647+29.64362649356471j)	(86.24102199781173-114.93842315658817j)	(56.548205431776466-2.174745489569411j)	(16.404756321629407+29.633136412652934j)	(0.013023204390797653+0.015117441731883677j)	(56.548205431776466-2.174745489569411j)	(48.392683130587926-56.506048927645175j)	(0.4257140018099692-0.2779309346617328j)	
638800000.0	(-0.9997749019515623+0.000873023237403565j)	(103.61130658288236+106.25294539541173j)	(10.580286811417649-21.340841405570583j)	(44.41164487947058+1.2605440897088236j)	(103.4180661367647+106.33733592317648j)	(0.005618554311003457+0.021830490499730147j)	(44.41164487947058+1.2605440897088236j)	(-47.27077550873175-40.302433499653084j)	(-0.5163407736937163-0.178267485421648j)	
688700000.0	(-0.9993408800223514+0.0009282210725458472j)	(17.149836932899998-56.43274890674117j)	(11.0936206369+17.17019249408235j)	(50.6285167020706-7.419344088612945j)	(17.12053254070588-56.47769950418234j)	(0.016472651138581634+0.023220824599295378j)	(50.6285167020706-7.419344088612945j)	(-24.505822712647138+70.7394072792207j)	(-0.24940846249801346+1.0121952039011648j)	
738600000.0	(-0.999623071173055+0.0014811492150974272j)	(6.894499049470001+4.165655725143529j)	(47.23115651748822+119.3940299542353j)	(48.32249450687648+7.739395814784704j)	(6.8775816805217636+4.135284115286471j)	(0.009397558917369611+0.037042671196243285j)	(48.32249450687648+7.739395814784704j)	(69.04642238633802+31.941717813024685j)	(0.7199950034875419+0.6211296379300629j)	
