#FMR data from 2020-12-03 14:48:58.362117, this file includes calibration measurements, correction factor and corrected S11
freq	S11o	S11l	S11s	Edf	Erf	Esf	S11a	Za	S11m
 (4.00000e+07+0.00000e+00j)	 (5.86135e+01+5.42470e+00j)	 (4.99420e+01+3.91914e-02j)	 (4.56748e+01+8.19202e-02j)	 (4.99420e+01+3.91914e-02j)	 (6.14985e+00+9.55532e-01j)	 (4.38818e-01+2.38335e-01j)	 (-9.99771e-01+9.11073e-04j)	 (5.71391e-03+2.27820e-02j)	 (4.56759e+01+8.44299e-02j)
 (4.43500e+07+0.00000e+00j)	 (6.26007e+01-1.60728e+00j)	 (4.99838e+01+3.23514e-02j)	 (4.53150e+01+6.39162e-03j)	 (4.99838e+01+3.23514e-02j)	 (6.84007e+00-2.09290e-01j)	 (4.64748e-01-5.29710e-02j)	 (-9.99449e-01+6.32109e-04j)	 (1.37633e-02+1.58114e-02j)	 (4.53167e+01+8.47726e-03j)
 (4.87000e+07+0.00000e+00j)	 (5.81460e+01-5.91723e+00j)	 (5.00398e+01+2.36633e-02j)	 (4.45602e+01+1.88146e-01j)	 (5.00398e+01+2.36633e-02j)	 (7.18576e+00-1.75934e+00j)	 (3.19822e-01-2.81455e-01j)	 (-9.99838e-01-1.57380e-04j)	 (4.05625e-03-3.93513e-03j)	 (4.45610e+01+1.87635e-01j)
 (5.30500e+07+0.00000e+00j)	 (5.57228e+01-5.72876e+00j)	 (5.01039e+01+2.07266e-02j)	 (4.32490e+01+6.23104e-01j)	 (5.01039e+01+2.07266e-02j)	 (7.23776e+00-3.17627e+00j)	 (8.81729e-02-3.67736e-01j)	 (-9.99741e-01-5.86371e-06j)	 (6.48196e-03-1.46631e-04j)	 (4.32506e+01+6.23436e-01j)
 (5.74000e+07+0.00000e+00j)	 (5.48049e+01-5.35013e+00j)	 (5.01820e+01+2.17453e-02j)	 (4.14278e+01+2.27995e+00j)	 (5.01820e+01+2.17453e-02j)	 (6.89443e+00-4.65923e+00j)	 (-1.32855e-01-3.08541e-01j)	 (-9.99883e-01-1.70051e-04j)	 (2.91877e-03-4.25176e-03j)	 (4.14291e+01+2.27838e+00j)
 (6.17500e+07+0.00000e+00j)	 (5.45210e+01-5.31729e+00j)	 (5.02651e+01+2.21047e-02j)	 (4.05588e+01+6.47299e+00j)	 (5.02651e+01+2.21047e-02j)	 (6.17205e+00-6.14446e+00j)	 (-2.67118e-01-1.45958e-01j)	 (-9.99852e-01+2.19700e-04j)	 (3.68728e-03+5.49330e-03j)	 (4.05622e+01+6.47529e+00j)
 (6.61000e+07+0.00000e+00j)	 (5.48066e+01-5.52703e+00j)	 (5.03512e+01+4.04534e-02j)	 (4.35460e+01+1.07161e+01j)	 (5.03512e+01+4.04534e-02j)	 (5.42766e+00-7.34786e+00j)	 (-2.80141e-01+4.95365e-02j)	 (-9.99831e-01+8.16672e-06j)	 (4.23696e-03+2.04203e-04j)	 (4.35475e+01+1.07136e+01j)
 (7.04500e+07+0.00000e+00j)	 (5.54721e+01-6.12262e+00j)	 (5.04372e+01+8.02015e-02j)	 (4.75001e+01+1.11181e+01j)	 (5.04372e+01+8.02015e-02j)	 (4.68033e+00-8.39105e+00j)	 (-1.84694e-01+2.07077e-01j)	 (-9.99881e-01+2.47465e-04j)	 (2.96631e-03+6.18737e-03j)	 (4.75035e+01+1.11165e+01j)
 (7.48000e+07+0.00000e+00j)	 (5.62322e+01-7.46281e+00j)	 (5.05183e+01+1.33943e-01j)	 (4.95425e+01+1.00617e+01j)	 (5.05183e+01+1.33943e-01j)	 (3.73317e+00-9.39599e+00j)	 (-2.60113e-02+2.80303e-01j)	 (-9.99997e-01-1.98004e-05j)	 (8.50616e-05-4.95011e-04j)	 (4.95423e+01+1.00617e+01j)
 (7.91500e+07+0.00000e+00j)	 (5.63578e+01-1.01558e+01j)	 (5.05970e+01+1.83609e-01j)	 (5.05649e+01+9.31371e+00j)	 (5.05970e+01+1.83609e-01j)	 (2.34948e+00-1.03772e+01j)	 (1.37487e-01+2.53333e-01j)	 (-9.99937e-01+2.66357e-04j)	 (1.57543e-03+6.65935e-03j)	 (5.05668e+01+9.31278e+00j)
 (8.35000e+07+0.00000e+00j)	 (5.42379e+01-1.41307e+01j)	 (5.06684e+01+2.29438e-01j)	 (5.12042e+01+9.08688e+00j)	 (5.06684e+01+2.29438e-01j)	 (5.97345e-01-1.11995e+01j)	 (2.55743e-01+1.43403e-01j)	 (-9.99949e-01+2.75778e-04j)	 (1.27107e-03+6.89480e-03j)	 (5.12060e+01+9.08620e+00j)
 (8.78500e+07+0.00000e+00j)	 (4.86765e+01-1.64479e+01j)	 (5.07224e+01+2.88773e-01j)	 (5.15649e+01+9.38589e+00j)	 (5.07224e+01+2.88773e-01j)	 (-1.21432e+00-1.17896e+01j)	 (2.97211e-01-1.33551e-02j)	 (-9.99828e-01+7.81274e-04j)	 (4.28274e-03+1.95352e-02j)	 (5.15703e+01+9.38424e+00j)
 (9.22000e+07+0.00000e+00j)	 (4.32873e+01-1.41023e+01j)	 (5.07553e+01+3.51811e-01j)	 (5.19209e+01+1.02007e+01j)	 (5.07553e+01+3.51811e-01j)	 (-3.13625e+00-1.21130e+01j)	 (2.50057e-01-1.70490e-01j)	 (-9.99877e-01+4.36296e-04j)	 (3.06065e-03+1.09087e-02j)	 (5.19244e+01+1.01998e+01j)
 (9.65500e+07+0.00000e+00j)	 (4.13837e+01-1.05343e+01j)	 (5.07620e+01+4.21894e-01j)	 (5.24239e+01+1.16463e+01j)	 (5.07620e+01+4.21894e-01j)	 (-5.06010e+00-1.22020e+01j)	 (1.29085e-01-2.83637e-01j)	 (-9.99507e-01+1.65465e-04j)	 (1.23289e-02+4.13866e-03j)	 (5.24260e+01+1.16417e+01j)
 (1.00900e+08+0.00000e+00j)	 (4.11251e+01-8.04682e+00j)	 (5.07467e+01+4.75374e-01j)	 (5.37961e+01+1.37952e+01j)	 (5.07467e+01+4.75374e-01j)	 (-7.21511e+00-1.18931e+01j)	 (-3.37419e-02-3.20466e-01j)	 (-9.99682e-01+2.53332e-04j)	 (7.94743e-03+6.33531e-03j)	 (5.37999e+01+1.37913e+01j)
 (1.05250e+08+0.00000e+00j)	 (4.11866e+01-6.62826e+00j)	 (5.07048e+01+5.06581e-01j)	 (5.69975e+01+1.63813e+01j)	 (5.07048e+01+5.06581e-01j)	 (-9.40687e+00-1.11027e+01j)	 (-1.92583e-01-2.72510e-01j)	 (-9.99931e-01+4.76653e-04j)	 (1.73268e-03+1.19172e-02j)	 (5.70070e+01+1.63794e+01j)
 (1.09600e+08+0.00000e+00j)	 (4.10069e+01-5.88628e+00j)	 (5.06437e+01+5.15161e-01j)	 (6.34564e+01+1.76733e+01j)	 (5.06437e+01+5.15161e-01j)	 (-1.15842e+01-9.88078e+00j)	 (-3.06622e-01-1.57369e-01j)	 (-9.99846e-01+3.89264e-04j)	 (3.84561e-03+9.73310e-03j)	 (6.34652e+01+1.76643e+01j)
 (1.13950e+08+0.00000e+00j)	 (4.04594e+01-5.63851e+00j)	 (5.05607e+01+5.06968e-01j)	 (7.11907e+01+1.38217e+01j)	 (5.05607e+01+5.06968e-01j)	 (-1.35650e+01-8.41414e+00j)	 (-3.49988e-01-1.16631e-02j)	 (-9.99720e-01+3.77967e-04j)	 (6.98762e-03+9.45181e-03j)	 (7.11899e+01+1.38040e+01j)
 (1.18300e+08+0.00000e+00j)	 (3.94999e+01-5.63038e+00j)	 (5.04527e+01+4.66643e-01j)	 (7.38819e+01+6.01912e+00j)	 (5.04527e+01+4.66643e-01j)	 (-1.52244e+01-6.68870e+00j)	 (-3.20691e-01+1.24496e-01j)	 (-9.99894e-01+2.64798e-04j)	 (2.64511e-03+6.62064e-03j)	 (7.38787e+01+6.00972e+00j)
 (1.22650e+08+0.00000e+00j)	 (3.80704e+01-5.30536e+00j)	 (5.03372e+01+3.70867e-01j)	 (7.17190e+01-2.39124e-01j)	 (5.03372e+01+3.70867e-01j)	 (-1.64420e+01-4.29356e+00j)	 (-2.37381e-01+2.22560e-01j)	 (-9.99736e-01+2.75934e-04j)	 (6.58810e-03+6.90018e-03j)	 (7.17100e+01-2.44012e-01j)
 (1.27000e+08+0.00000e+00j)	 (3.60794e+01-4.55966e+00j)	 (5.02200e+01+2.44155e-01j)	 (6.90062e+01-3.44060e+00j)	 (5.02200e+01+2.44155e-01j)	 (-1.72696e+01-1.72978e+00j)	 (-1.32175e-01+2.62293e-01j)	 (-9.99877e-01+2.62281e-04j)	 (3.06303e-03+6.55783e-03j)	 (6.90014e+01-3.44428e+00j)
 (1.31350e+08+0.00000e+00j)	 (3.37438e+01-2.94167e+00j)	 (5.01101e+01+8.36495e-02j)	 (6.72196e+01-5.18083e+00j)	 (5.01101e+01+8.36495e-02j)	 (-1.77393e+01+8.68575e-01j)	 (-3.85901e-02+2.45054e-01j)	 (-9.99821e-01+1.92666e-04j)	 (4.47678e-03+4.81751e-03j)	 (6.72150e+01-5.18211e+00j)
 (1.35700e+08+0.00000e+00j)	 (3.18781e+01+1.53145e-01j)	 (5.00111e+01-1.08540e-01j)	 (6.61346e+01-6.80430e+00j)	 (5.00111e+01-1.08540e-01j)	 (-1.77256e+01+3.73481e+00j)	 (1.96980e-02+1.91821e-01j)	 (-9.99750e-01+1.12937e-04j)	 (6.23840e-03+2.82412e-03j)	 (6.61301e+01-6.80359e+00j)
 (1.40050e+08+0.00000e+00j)	 (3.15640e+01+4.13107e+00j)	 (4.99303e+01-3.23006e-01j)	 (6.55930e+01-8.68717e+00j)	 (4.99303e+01-3.23006e-01j)	 (-1.72197e+01+6.64250e+00j)	 (3.16738e-02+1.26835e-01j)	 (-9.99906e-01+3.87717e-04j)	 (2.35136e-03+9.69384e-03j)	 (6.55879e+01-8.69166e+00j)
 (1.44400e+08+0.00000e+00j)	 (3.29262e+01+7.76048e+00j)	 (4.98721e+01-5.51858e-01j)	 (6.52968e+01-1.13884e+01j)	 (4.98721e+01-5.51858e-01j)	 (-1.62837e+01+9.63484e+00j)	 (6.40786e-04+7.83567e-02j)	 (-9.99943e-01+3.25776e-04j)	 (1.41296e-03+8.14487e-03j)	 (6.52920e+01-1.13924e+01j)
 (1.48750e+08+0.00000e+00j)	 (3.51160e+01+1.02587e+01j)	 (4.98306e+01-7.92685e-01j)	 (6.44961e+01-1.52046e+01j)	 (4.98306e+01-7.92685e-01j)	 (-1.48025e+01+1.26398e+01j)	 (-5.56578e-02+6.61433e-02j)	 (-9.99581e-01+1.26472e-05j)	 (1.04668e-02+3.16311e-04j)	 (6.44899e+01-1.51980e+01j)
 (1.53100e+08+0.00000e+00j)	 (3.71956e+01+1.16825e+01j)	 (4.98219e+01-1.03749e+00j)	 (6.22944e+01-1.97227e+01j)	 (4.98219e+01-1.03749e+00j)	 (-1.28434e+01+1.53713e+01j)	 (-1.13522e-01+9.56245e-02j)	 (-9.99871e-01+3.95704e-04j)	 (3.22125e-03+9.89386e-03j)	 (6.22841e+01-1.97244e+01j)
 (1.57450e+08+0.00000e+00j)	 (3.88053e+01+1.26261e+01j)	 (4.98483e+01-1.27786e+00j)	 (5.79843e+01-2.36755e+01j)	 (4.98483e+01-1.27786e+00j)	 (-1.04836e+01+1.77459e+01j)	 (-1.49843e-01+1.59242e-01j)	 (-9.99687e-01+5.42126e-04j)	 (7.81108e-03+1.35574e-02j)	 (5.79682e+01-2.36695e+01j)
 (1.61800e+08+0.00000e+00j)	 (4.01835e+01+1.37903e+01j)	 (4.98891e+01-1.50021e+00j)	 (5.17566e+01-2.52309e+01j)	 (4.98891e+01-1.50021e+00j)	 (-7.37905e+00+1.98573e+01j)	 (-1.44053e-01+2.43592e-01j)	 (-9.99571e-01+2.71725e-04j)	 (1.07382e-02+6.79603e-03j)	 (5.17517e+01-2.52182e+01j)
 (1.66150e+08+0.00000e+00j)	 (4.14216e+01+1.52756e+01j)	 (4.99582e+01-1.69607e+00j)	 (4.63695e+01-2.40235e+01j)	 (4.99582e+01-1.69607e+00j)	 (-3.91401e+00+2.13365e+01j)	 (-9.59156e-02+3.20615e-01j)	 (-9.99909e-01+3.61716e-04j)	 (2.26542e-03+9.04371e-03j)	 (4.63630e+01-2.40175e+01j)
 (1.70500e+08+0.00000e+00j)	 (4.27796e+01+1.72313e+01j)	 (5.00664e+01-1.85040e+00j)	 (4.29863e+01-2.16695e+01j)	 (5.00664e+01-1.85040e+00j)	 (-3.61605e-01+2.20978e+01j)	 (-1.69925e-02+3.69415e-01j)	 (-9.99893e-01+3.21081e-04j)	 (2.68219e-03+8.02789e-03j)	 (4.29827e+01-2.16637e+01j)
 (1.74850e+08+0.00000e+00j)	 (4.46641e+01+1.97439e+01j)	 (5.02127e+01-1.95012e+00j)	 (4.11798e+01-1.94591e+01j)	 (5.02127e+01-1.95012e+00j)	 (3.06715e+00+2.22077e+01j)	 (7.31179e-02+3.78445e-01j)	 (-9.99946e-01+1.85569e-04j)	 (1.35402e-03+4.63948e-03j)	 (4.11783e+01-1.94561e+01j)
 (1.79200e+08+0.00000e+00j)	 (4.76464e+01+2.26792e+01j)	 (5.03815e+01-1.99366e+00j)	 (4.00861e+01-1.77662e+01j)	 (5.03815e+01-1.99366e+00j)	 (6.34858e+00+2.18226e+01j)	 (1.54439e-01+3.51046e-01j)	 (-9.99969e-01+2.22836e-04j)	 (7.80890e-04+5.57107e-03j)	 (4.00842e+01-1.77632e+01j)
 (1.83550e+08+0.00000e+00j)	 (5.23659e+01+2.53172e+01j)	 (5.05599e+01-1.97576e+00j)	 (3.91380e+01-1.65275e+01j)	 (5.05599e+01-1.97576e+00j)	 (9.51586e+00+2.10048e+01j)	 (2.10780e-01+2.96432e-01j)	 (-9.99830e-01+2.15251e-04j)	 (4.24929e-03+5.38220e-03j)	 (3.91380e+01-1.65234e+01j)
 (1.87900e+08+0.00000e+00j)	 (5.85091e+01+2.63985e+01j)	 (5.07351e+01-1.90020e+00j)	 (3.80171e+01-1.55569e+01j)	 (5.07351e+01-1.90020e+00j)	 (1.25317e+01+1.98305e+01j)	 (2.35303e-01+2.32764e-01j)	 (-1.00006e+00+3.64440e-04j)	 (-1.37915e-03+9.11049e-03j)	 (3.80133e+01-1.55531e+01j)
 (1.92250e+08+0.00000e+00j)	 (6.47464e+01+2.52416e+01j)	 (5.08882e+01-1.76960e+00j)	 (3.64776e+01-1.45510e+01j)	 (5.08882e+01-1.76960e+00j)	 (1.54652e+01+1.83012e+01j)	 (2.31103e-01+1.78061e-01j)	 (-9.99643e-01+3.79410e-04j)	 (8.93150e-03+9.48864e-03j)	 (3.64790e+01-1.45431e+01j)
 (1.96600e+08+0.00000e+00j)	 (6.69041e+01+2.40912e+01j)	 (5.11553e+01-1.49253e+00j)	 (3.53520e+01-1.45102e+01j)	 (5.11553e+01-1.49253e+00j)	 (1.67889e+01+1.80833e+01j)	 (1.94459e-01+1.60359e-01j)	 (-1.00002e+00+2.42807e-04j)	 (-5.61043e-04+6.07005e-03j)	 (3.53495e+01-1.45069e+01j)
 (2.00950e+08+0.00000e+00j)	 (7.11731e+01+2.14500e+01j)	 (5.11964e+01-1.27213e+00j)	 (3.28424e+01-1.22699e+01j)	 (5.11964e+01-1.27213e+00j)	 (1.99107e+01+1.57080e+01j)	 (1.75553e-01+1.51437e-01j)	 (-9.99929e-01+2.88863e-04j)	 (1.77230e-03+7.22208e-03j)	 (3.28415e+01-1.22647e+01j)
