#FMR data, this file includes calibration measurements, correction factor and corrected S11
freq	S11a	S11m	S11o	S11l	S11s	Za	Edf	Erf	Esf
40000000.0	(-0.9982050523280662+0.002544804504710306j)	(45.674121856700005+0.15518632531200002j)	(58.7581870135294+5.231148523445883j)	(49.94786565441763+0.03895223425588824j)	(45.667545318600006+0.14881376922100004j)	(0.04483283235178569+0.06373435793331882j)	(49.94786565441763+0.03895223425588824j)	(6.17825148740281+0.8489082412051089j)	(0.43737134011922757+0.235220727411549j)	
89900000.0	(-0.9992791140846946-0.00016301217563372854j)	(52.24407577509999+9.651183128360001j)	(45.017460766958834-15.503792538347057j)	(50.7640243979059+0.278448960360294j)	(52.24574279789999+9.65639209747j)	(0.018028313659635888-0.004078243782410507j)	(50.7640243979059+0.278448960360294j)	(-2.7317144985139588-11.872963402765107j)	(0.2801190848545606-0.08903215599563603j)	
139800000.0	(-1.0000205615991493+0.00038262741296418647j)	(64.6876678467-9.913247108460002j)	(31.674759135535307+5.077644600586471j)	(49.91207055486472-0.31052030885894116j)	(64.69161987300001-9.908165931700001j)	(-0.0005158646842507782+0.009565488291251919j)	(49.91207055486472-0.31052030885894116j)	(-16.746716899713253+7.825597891228191j)	(0.038854834372238974+0.14513045130678112j)	
189700000.0	(-1.0000027756976666+0.0001340494226345214j)	(36.27072143549999-13.708908081099997j)	(64.57702771354117+25.410663604735294j)	(50.61429393993528-1.9297652384835293j)	(36.271751403799996-13.710572242700001j)	(-6.961696001910797e-05+0.0033512262488109477j)	(50.61429393993528-1.9297652384835293j)	(15.720419231295345+17.602542972412955j)	(0.2564529583785178+0.195259184542982j)	
239600000.0	(-0.9998000576390409+0.0003462570232749027j)	(30.9234638214+14.570871353099994j)	(67.75501475612941-33.13872685155883j)	(49.30072290758824+0.8746182778302938j)	(30.917444229100003+14.5670347214j)	(0.004997559662191032+0.008658156368051593j)	(49.30072290758824+0.8746182778302938j)	(20.49344528505312-21.126960253170058j)	(0.26757017886289775-0.20512453511036163j)	
289500000.0	(-0.9997045082859135+0.0012839209409286527j)	(82.52165222169998+28.354341507000004j)	(24.034739101635285-13.061820366841179j)	(48.105148091070575-1.5531120300299994j)	(82.47206115719996+28.41800498959999j)	(0.007367769665668899+0.03210749708977221j)	(48.105148091070575-1.5531120300299994j)	(-29.019370002355018-17.62834454090054j)	(-0.26628732141208944-0.12691986619370688j)	
339400000.0	(-0.9990881560602157+0.000566689899656648j)	(46.408679962200004-40.32992553710001j)	(27.221686419317646+24.607937644511765j)	(51.046495325441185+1.6706204344252942j)	(46.40539550780001-40.376323700000015j)	(0.022802476764179645+0.014180173510691316j)	(51.046495325441185+1.6706204344252942j)	(-16.36167896216513+37.91552695410755j)	(-0.151546065971555+0.48278034893008126j)	
389300000.0	(-0.9998909633638742+0.0013003718016996579j)	(17.712080001799997+0.300707131624j)	(105.07474876841171+47.232960644929406j)	(45.70351881142353+1.8661822571482358j)	(17.707593917800004+0.2768409252169999j)	(0.002704923989801162+0.032512826290537325j)	(45.70351881142353+1.8661822571482358j)	(41.266374127541404+9.055844128585857j)	(0.4875828388465939+0.2390193309762545j)	
439200000.0	(-1.0000377595981822+0.001459337277389103j)	(39.3485509087353+47.6820615880647j)	(31.526493409129397-47.58294655298826j)	(52.81233394848822-1.6035494313541172j)	(39.29241180420001+47.639720916699986j)	(-0.0009705914267633616+0.036482034951112165j)	(52.81233394848822-1.6035494313541172j)	(-4.557264698552773-53.971486641326656j)	(-0.004436621883142863-0.3658815495609994j)	
489100000.0	(-0.9996606308688188+0.0007773740923395096j)	(114.36786068176468-66.05351257322351j)	(14.475577690994124+8.512450049907649j)	(53.4729423523412+4.8304734791058825j)	(114.490287781-66.08448791499997j)	(0.008478110439958234+0.019440946468747968j)	(53.4729423523412+4.8304734791058825j)	(-55.875998401179366+18.118771762008016j)	(-0.4636344553553329+0.3264247238170108j)	
539000000.0	(-1.000204157607074+0.0022923607373779406j)	(14.322680922105874-20.457197638123528j)	(39.5053919623706+61.25379136027647j)	(48.25484152405293-4.702031780691764j)	(14.3279428482-20.512292861899994j)	(-0.0051690855000646714+0.05729724489591932j)	(48.25484152405293-4.702031780691764j)	(37.687058530013594+44.371758508217134j)	(0.4133731518957016+0.649218196511803j)	
588900000.0	(-0.9997945570354981+0.0008178388245879297j)	(16.401667314411764+29.62789546738236j)	(86.24102199781173-114.93842315658817j)	(56.548205431776466-2.174745489569411j)	(16.3820037842+29.605588913000005j)	(0.0051282384219869595+0.020450168322542237j)	(56.548205431776466-2.174745489569411j)	(48.42585085469508-56.488136271103j)	(0.4257901237674379-0.27824511383857314j)	
638800000.0	(-1.0002808643180232+0.0011728033500669778j)	(103.54054484629408+106.41928369888237j)	(10.580286811417649-21.340841405570583j)	(44.41164487947058+1.2605440897088236j)	(103.25931549100001+106.397254944j)	(-0.007037808128324866+0.029311840444161248j)	(44.41164487947058+1.2605440897088236j)	(-47.25991368397779-40.32219419651173j)	(-0.5163885866922729-0.1788196375643143j)	
688700000.0	(-1.0000121602577416+0.001622238713109168j)	(17.12281507603529-56.46120138733529j)	(11.0936206369+17.17019249408235j)	(50.6285167020706-7.419344088612945j)	(17.126474380499996-56.537639617900005j)	(-0.0003368997040174204+0.04055544797950793j)	(50.6285167020706-7.419344088612945j)	(-24.54995616608317+70.72108780712507j)	(-0.2500055801992735+1.011360439605831j)	
