#FMR data from 2020-12-03 15:21:46.230574, this file includes calibration measurements, correction factor and corrected S11
freq	S11o	S11l	S11s	Edf	Erf	Esf	S11a	Za	S11m
 (4.00000e+07+0.00000e+00j)	 (5.86135e+01+5.42470e+00j)	 (4.99420e+01+3.91914e-02j)	 (4.56758e+01+8.01304e-02j)	 (4.99420e+01+3.91914e-02j)	 (6.14825e+00+9.56997e-01j)	 (4.38876e-01+2.38130e-01j)	 (-1.00105e+00+8.65201e-04j)	 (-2.61470e-02+2.16074e-02j)	 (4.56732e+01+8.31502e-02j)
 (4.43500e+07+0.00000e+00j)	 (6.26007e+01-1.60728e+00j)	 (4.99838e+01+3.23514e-02j)	 (4.53152e+01+3.52659e-03j)	 (4.99838e+01+3.23514e-02j)	 (6.84010e+00-2.06206e-01j)	 (4.64776e-01-5.32117e-02j)	 (-9.99872e-01+1.14924e-04j)	 (3.20878e-03+2.87346e-03j)	 (4.53156e+01+3.90972e-03j)
 (4.87000e+07+0.00000e+00j)	 (5.81460e+01-5.91723e+00j)	 (5.00398e+01+2.36633e-02j)	 (4.45590e+01+1.84280e-01j)	 (5.00398e+01+2.36633e-02j)	 (7.18822e+00-1.75658e+00j)	 (3.19786e-01-2.81821e-01j)	 (-1.00006e+00-8.05950e-05j)	 (-1.45467e-03-2.01476e-03j)	 (4.45588e+01+1.83915e-01j)
 (5.30500e+07+0.00000e+00j)	 (5.57228e+01-5.72876e+00j)	 (5.01039e+01+2.07266e-02j)	 (4.32491e+01+6.15883e-01j)	 (5.01039e+01+2.07266e-02j)	 (7.24063e+00-3.17247e+00j)	 (8.82619e-02-3.68322e-01j)	 (-1.00014e+00-1.12628e-04j)	 (-3.49709e-03-2.81531e-03j)	 (4.32484e+01+6.15028e-01j)
 (5.74000e+07+0.00000e+00j)	 (5.48049e+01-5.35013e+00j)	 (5.01820e+01+2.17453e-02j)	 (4.14271e+01+2.26755e+00j)	 (5.01820e+01+2.17453e-02j)	 (6.89800e+00-4.65535e+00j)	 (-1.32769e-01-3.09279e-01j)	 (-1.00002e+00-2.31308e-04j)	 (-5.83165e-04-5.78257e-03j)	 (4.14271e+01+2.26526e+00j)
 (6.17500e+07+0.00000e+00j)	 (5.45210e+01-5.31729e+00j)	 (5.02651e+01+2.21047e-02j)	 (4.05484e+01+6.45344e+00j)	 (5.02651e+01+2.21047e-02j)	 (6.17682e+00-6.14053e+00j)	 (-2.67104e-01-1.46863e-01j)	 (-1.00003e+00+9.55153e-05j)	 (-6.53842e-04+2.38782e-03j)	 (4.05486e+01+6.45497e+00j)
 (6.61000e+07+0.00000e+00j)	 (5.48066e+01-5.52703e+00j)	 (5.03512e+01+4.04534e-02j)	 (4.35223e+01+1.07063e+01j)	 (5.03512e+01+4.04534e-02j)	 (5.43342e+00-7.34450e+00j)	 (-2.80277e-01+4.86119e-02j)	 (-1.00013e+00+8.55629e-05j)	 (-3.13859e-03+2.13880e-03j)	 (4.35226e+01+1.07090e+01j)
 (7.04500e+07+0.00000e+00j)	 (5.54721e+01-6.12262e+00j)	 (5.04372e+01+8.02015e-02j)	 (4.74804e+01+1.11199e+01j)	 (5.04372e+01+8.02015e-02j)	 (4.68675e+00-8.38829e+00j)	 (-1.84933e-01+2.06235e-01j)	 (-9.99990e-01+1.95397e-04j)	 (2.46338e-04+4.88497e-03j)	 (4.74831e+01+1.11198e+01j)
 (7.48000e+07+0.00000e+00j)	 (5.62322e+01-7.46281e+00j)	 (5.05183e+01+1.33943e-01j)	 (4.95266e+01+1.00643e+01j)	 (5.05183e+01+1.33943e-01j)	 (3.74081e+00-9.39281e+00j)	 (-2.62261e-02+2.79460e-01j)	 (-1.00005e+00+2.60097e-04j)	 (-1.18532e-03+6.50212e-03j)	 (4.95292e+01+1.00643e+01j)
 (7.91500e+07+0.00000e+00j)	 (5.63578e+01-1.01558e+01j)	 (5.05970e+01+1.83609e-01j)	 (5.05525e+01+9.31773e+00j)	 (5.05970e+01+1.83609e-01j)	 (2.35825e+00-1.03762e+01j)	 (1.37207e-01+2.52641e-01j)	 (-9.99840e-01+3.60540e-04j)	 (3.99705e-03+9.01493e-03j)	 (5.05550e+01+9.31591e+00j)
 (8.35000e+07+0.00000e+00j)	 (5.42379e+01-1.41307e+01j)	 (5.06684e+01+2.29438e-01j)	 (5.11924e+01+9.08835e+00j)	 (5.06684e+01+2.29438e-01j)	 (6.06827e-01-1.11985e+01j)	 (2.55653e-01+1.42765e-01j)	 (-1.00007e+00-6.35917e-05j)	 (-1.70260e-03-1.58968e-03j)	 (5.11920e+01+9.08889e+00j)
 (8.78500e+07+0.00000e+00j)	 (4.86765e+01-1.64479e+01j)	 (5.07224e+01+2.88773e-01j)	 (5.15528e+01+9.38681e+00j)	 (5.07224e+01+2.88773e-01j)	 (-1.20419e+00-1.17906e+01j)	 (2.97226e-01-1.39589e-02j)	 (-9.99940e-01+2.67866e-04j)	 (1.50673e-03+6.69706e-03j)	 (5.15547e+01+9.38624e+00j)
 (9.22000e+07+0.00000e+00j)	 (4.32873e+01-1.41023e+01j)	 (5.07553e+01+3.51811e-01j)	 (5.19056e+01+1.02022e+01j)	 (5.07553e+01+3.51811e-01j)	 (-3.12478e+00-1.21174e+01j)	 (2.50140e-01-1.71241e-01j)	 (-9.99953e-01+1.89280e-04j)	 (1.16838e-03+4.73221e-03j)	 (5.19071e+01+1.02018e+01j)
 (9.65500e+07+0.00000e+00j)	 (4.13837e+01-1.05343e+01j)	 (5.07620e+01+4.21894e-01j)	 (5.24039e+01+1.16411e+01j)	 (5.07620e+01+4.21894e-01j)	 (-5.04651e+00-1.22053e+01j)	 (1.29524e-01-2.84502e-01j)	 (-1.00008e+00+3.70623e-04j)	 (-1.97996e-03+9.26485e-03j)	 (5.24074e+01+1.16423e+01j)
 (1.00900e+08+0.00000e+00j)	 (4.11251e+01-8.04682e+00j)	 (5.07467e+01+4.75374e-01j)	 (5.37668e+01+1.37915e+01j)	 (5.07467e+01+4.75374e-01j)	 (-7.20176e+00-1.19007e+01j)	 (-3.33544e-02-3.21595e-01j)	 (-1.00006e+00+2.58036e-04j)	 (-1.54856e-03+6.45050e-03j)	 (5.37701e+01+1.37926e+01j)
 (1.05250e+08+0.00000e+00j)	 (4.11866e+01-6.62826e+00j)	 (5.07048e+01+5.06581e-01j)	 (5.69565e+01+1.63876e+01j)	 (5.07048e+01+5.06581e-01j)	 (-9.39641e+00-1.11136e+01j)	 (-1.92428e-01-2.73768e-01j)	 (-9.99996e-01+1.65403e-04j)	 (8.79700e-05+4.13510e-03j)	 (5.69598e+01+1.63874e+01j)
 (1.09600e+08+0.00000e+00j)	 (4.10069e+01-5.88628e+00j)	 (5.06437e+01+5.15161e-01j)	 (6.33953e+01+1.77038e+01j)	 (5.06437e+01+5.15161e-01j)	 (-1.15736e+01-9.89442e+00j)	 (-3.06511e-01-1.58857e-01j)	 (-9.99947e-01+2.15798e-04j)	 (1.32944e-03+5.39523e-03j)	 (6.34006e+01+1.76997e+01j)
 (1.13950e+08+0.00000e+00j)	 (4.04594e+01-5.63851e+00j)	 (5.05607e+01+5.06968e-01j)	 (7.11462e+01+1.38925e+01j)	 (5.05607e+01+5.06968e-01j)	 (-1.35562e+01-8.42945e+00j)	 (-3.50022e-01-1.31581e-02j)	 (-9.99998e-01+1.48994e-04j)	 (5.04767e-05+3.72486e-03j)	 (7.11493e+01+1.38878e+01j)
