#FMR data, this file includes calibration measurements, correction factor and corrected S11
freq	S11a	S11m	S11o	S11l	S11s	Za	Edf	Erf	Esf
40000000.0	(-1.000794723711154+0.00040036626808757713j)	(45.67004663804705+0.16047264021994118j)	(58.7581870135294+5.231148523445883j)	(49.94786565441763+0.03895223425588824j)	(45.6721135307647+0.15887702212611768j)	(-0.01986220237012894+0.010001206526286669j)	(49.94786565441763+0.03895223425588824j)	(6.177066954072004+0.8372393843944489j)	(0.4380504629236381+0.23614495225804377j)	
89900000.0	(-0.9993838476481299+0.000276707943022455j)	(52.2479734981706+9.648259779987052j)	(45.017460766958834-15.503792538347057j)	(50.7640243979059+0.278448960360294j)	(52.24633250517647+9.652978448307056j)	(0.01540759782953156+0.006921962769732602j)	(50.7640243979059+0.278448960360294j)	(-2.7318064551090604-11.870112406274073j)	(0.2802767110273468-0.08896893522772407j)	
139800000.0	(-0.9996432452168879+0.0003023484857846622j)	(64.67873921111764-9.934299917784708j)	(31.674759135535307+5.077644600586471j)	(49.91207055486472-0.31052030885894116j)	(64.68660062904705-9.934408131767059j)	(0.008919317492066179+0.007561409300152984j)	(49.91207055486472-0.31052030885894116j)	(-16.748028106700637+7.840235344968131j)	(0.03857061741213757+0.1458490904519657j)	
189700000.0	(-0.9996823680156385+0.0003711935802798187j)	(36.26473191202353-13.691356154070588j)	(64.57702771354117+25.410663604735294j)	(50.61429393993528-1.9297652384835293j)	(36.263488545158815-13.698377104370588j)	(0.007940337806108227+0.009282787463306096j)	(50.61429393993528-1.9297652384835293j)	(15.729778865358941+17.595178450169026j)	(0.2565279359307493+0.19563981228382973j)	
239600000.0	(-0.9997055703988843+0.00014867683020151808j)	(30.934479993941174+14.58732492787059j)	(67.75501475612941-33.13872685155883j)	(49.30072290758824+0.8746182778302938j)	(30.92859021356469+14.587404419435295j)	(0.007361547365251349+0.003718015347689656j)	(49.30072290758824+0.8746182778302938j)	(20.479435904045246-21.140000924741962j)	(0.2674466212368829-0.2046456186898655j)	
289500000.0	(-0.999483268758986+0.0002638037296689118j)	(82.56287114758234+28.2558130376353j)	(24.034739101635285-13.061820366841179j)	(48.105148091070575-1.5531120300299994j)	(82.57049381028823+28.290507709299987j)	(0.012920748947906608+0.006598502338755251j)	(48.105148091070575-1.5531120300299994j)	(-29.03329315481626-17.585922149227507j)	(-0.2660722561681693-0.1252602654563489j)	
339400000.0	(-0.9996534791954821+0.0005658281968043997j)	(46.3298521603059-40.24032637651176j)	(27.221686419317646+24.607937644511765j)	(51.046495325441185+1.6706204344252942j)	(46.340787999735284-40.26677883375883j)	(0.008660517231470483+0.01415060684236795j)	(51.046495325441185+1.6706204344252942j)	(-16.300971558392703+37.91535562972734j)	(-0.15022009333595795+0.484049737099931j)	
389300000.0	(-0.9996752441507197+0.0011888955290028731j)	(17.72372357985294+0.34711752919635286j)	(105.07474876841171+47.232960644929406j)	(45.70351881142353+1.8661822571482358j)	(17.71541472038824+0.3257547704616471j)	(0.008102537764968276+0.0297320325862797j)	(45.70351881142353+1.8661822571482358j)	(41.275360816545444+9.000326546396348j)	(0.48793839534799016+0.23968273527518624j)	
439200000.0	(-0.9994535600426101+0.0014128735036231794j)	(39.55844497681765+47.77475110222943j)	(31.526493409129397-47.58294655298826j)	(52.81233394848822-1.6035494313541172j)	(39.48746669992352+47.757015003876475j)	(0.013639759317036324+0.03534112912039223j)	(52.81233394848822-1.6035494313541172j)	(-4.683462396842263-53.95098574205836j)	(-0.005115809538658366-0.3634513172144925j)	
489100000.0	(-0.9997353591142236+5.0051627453868206e-05j)	(113.41496591041174-66.07070249671766j)	(14.475577690994124+8.512450049907649j)	(53.4729423523412+4.8304734791058825j)	(113.4280431411176-66.10804838291766j)	(0.006616866368241486+0.0012516218939752318j)	(53.4729423523412+4.8304734791058825j)	(-55.7842983920188+18.308641477604073j)	(-0.46175942017851+0.3314705404483483j)	
