#FMR data from 2020-12-17 13:57:29.795719, this file includes calibration measurements, correction factor and corrected S11
freq	S11o	S11l	S11s	Edf	Erf	Esf	S11a	Za	S11m
 (4.00000e+07+0.00000e+00j)	 (5.85599e+01+5.48561e+00j)	 (4.99462e+01+3.79024e-02j)	 (4.56798e+01+4.54718e-02j)	 (4.99462e+01+3.79024e-02j)	 (6.13788e+00+1.00642e+00j)	 (4.38236e-01+2.38446e-01j)	 (-1.00083e+00+9.10470e-04j)	 (-2.08458e-02+2.27428e-02j)	 (4.56778e+01+4.85014e-02j)
 (5.24000e+07+0.00000e+00j)	 (5.59673e+01-5.76127e+00j)	 (5.01010e+01+1.88851e-02j)	 (4.34817e+01+4.72127e-01j)	 (5.01010e+01+1.88851e-02j)	 (7.26264e+00-2.92878e+00j)	 (1.22231e-01-3.65620e-01j)	 (-9.99753e-01+1.31830e-03j)	 (6.14200e-03+3.29656e-02j)	 (4.34812e+01+4.79655e-01j)
 (6.48000e+07+0.00000e+00j)	 (5.46768e+01-5.42048e+00j)	 (5.03298e+01+2.88761e-02j)	 (4.23018e+01+9.80817e+00j)	 (5.03298e+01+2.88761e-02j)	 (5.64068e+00-6.99929e+00j)	 (-2.89548e-01-6.42418e-03j)	 (-1.00013e+00+5.29172e-04j)	 (-3.20899e-03+1.32276e-02j)	 (4.23076e+01+9.81597e+00j)
 (7.72000e+07+0.00000e+00j)	 (5.64593e+01-8.74242e+00j)	 (5.05695e+01+1.58204e-01j)	 (5.02075e+01+9.56684e+00j)	 (5.05695e+01+1.58204e-01j)	 (3.01025e+00-9.94255e+00j)	 (6.74776e-02+2.78874e-01j)	 (-9.99727e-01+3.33009e-04j)	 (6.82534e-03+8.32749e-03j)	 (5.02098e+01+9.56395e+00j)
 (8.96000e+07+0.00000e+00j)	 (4.60333e+01-1.59422e+01j)	 (5.07478e+01+3.05045e-01j)	 (5.17877e+01+9.63820e+00j)	 (5.07478e+01+3.05045e-01j)	 (-2.07541e+00-1.19394e+01j)	 (2.88027e-01-7.88554e-02j)	 (-9.99786e-01+7.64244e-04j)	 (5.34566e-03+1.91102e-02j)	 (5.17932e+01+9.63637e+00j)
 (1.02000e+08+0.00000e+00j)	 (4.10875e+01-7.50820e+00j)	 (5.07448e+01+4.74692e-01j)	 (5.45099e+01+1.44019e+01j)	 (5.07448e+01+4.74692e-01j)	 (-7.87988e+00-1.16569e+01j)	 (-7.74779e-02-3.16394e-01j)	 (-1.00020e+00+1.14947e-03j)	 (-4.93426e-03+2.87311e-02j)	 (5.45267e+01+1.44060e+01j)
 (1.14400e+08+0.00000e+00j)	 (4.03300e+01-5.54190e+00j)	 (5.05564e+01+4.97162e-01j)	 (7.20185e+01+1.28557e+01j)	 (5.05564e+01+4.97162e-01j)	 (-1.38528e+01-8.11428e+00j)	 (-3.51776e-01+4.80882e-03j)	 (-1.00001e+00+1.10294e-03j)	 (-2.37465e-04+2.75731e-02j)	 (7.20395e+01+1.28191e+01j)
 (1.26800e+08+0.00000e+00j)	 (3.61284e+01-4.45802e+00j)	 (5.02291e+01+2.43316e-01j)	 (6.90367e+01-3.69619e+00j)	 (5.02291e+01+2.43316e-01j)	 (-1.72801e+01-1.59771e+00j)	 (-1.36880e-01+2.65742e-01j)	 (-9.99898e-01+1.19896e-03j)	 (2.52034e-03+2.99771e-02j)	 (6.90224e+01-3.71746e+00j)
 (1.39200e+08+0.00000e+00j)	 (3.14640e+01+3.64307e+00j)	 (4.99369e+01-2.86631e-01j)	 (6.54427e+01-8.66320e+00j)	 (4.99369e+01-2.86631e-01j)	 (-1.72564e+01+6.44473e+00j)	 (3.52953e-02+1.43655e-01j)	 (-9.99928e-01+1.61383e-03j)	 (1.76307e-03+4.03486e-02j)	 (6.54257e+01-8.68442e+00j)
 (1.51600e+08+0.00000e+00j)	 (3.66887e+01+1.16232e+01j)	 (4.97959e+01-9.61674e-01j)	 (6.27286e+01-1.84742e+01j)	 (4.97959e+01-9.61674e-01j)	 (-1.32356e+01+1.48324e+01j)	 (-9.07650e-02+8.43268e-02j)	 (-1.00006e+00+1.53659e-03j)	 (-1.63488e-03+3.84122e-02j)	 (6.26981e+01-1.84944e+01j)
 (1.64000e+08+0.00000e+00j)	 (4.10956e+01+1.47854e+01j)	 (4.98817e+01-1.61596e+00j)	 (4.82013e+01-2.47555e+01j)	 (4.98817e+01-1.61596e+00j)	 (-5.13944e+00+2.08667e+01j)	 (-1.19000e-01+2.86085e-01j)	 (-9.99961e-01+1.73344e-03j)	 (9.30800e-04+4.33376e-02j)	 (4.81614e+01-2.47383e+01j)
 (1.76400e+08+0.00000e+00j)	 (4.61246e+01+2.10379e+01j)	 (5.02203e+01-1.99188e+00j)	 (4.03124e+01-1.84601e+01j)	 (5.02203e+01-1.99188e+00j)	 (4.90409e+00+2.19804e+01j)	 (1.11538e-01+3.70953e-01j)	 (-1.00001e+00+1.61570e-03j)	 (-2.57922e-04+4.03922e-02j)	 (4.02950e+01-1.84401e+01j)
 (1.88800e+08+0.00000e+00j)	 (6.08590e+01+2.62008e+01j)	 (5.07162e+01-1.91182e+00j)	 (3.73887e+01-1.49403e+01j)	 (5.07162e+01-1.91182e+00j)	 (1.37533e+01+1.90799e+01j)	 (2.43300e-01+2.16210e-01j)	 (-1.00004e+00+2.00733e-03j)	 (-1.01175e-03+5.01812e-02j)	 (3.73714e+01-1.49162e+01j)
 (2.01200e+08+0.00000e+00j)	 (7.23533e+01+2.04881e+01j)	 (5.11667e+01-1.30627e+00j)	 (3.24675e+01-1.15955e+01j)	 (5.11667e+01-1.30627e+00j)	 (2.05529e+01+1.48337e+01j)	 (1.78738e-01+1.44678e-01j)	 (-1.00023e+00+1.91577e-03j)	 (-5.73845e-03+4.78833e-02j)	 (3.24509e+01-1.15651e+01j)
 (2.13600e+08+0.00000e+00j)	 (8.19874e+01+1.25378e+01j)	 (5.09970e+01-5.09424e-01j)	 (2.90201e+01-1.31360e+00j)	 (5.09970e+01-5.09424e-01j)	 (2.65802e+01+4.81704e+00j)	 (2.15855e-01+1.74696e-01j)	 (-1.00007e+00+2.16060e-03j)	 (-1.88575e-03+5.40109e-02j)	 (2.90228e+01-1.27501e+00j)
