#FMR data from 2020-12-17 15:14:01.354219, this file includes calibration measurements, correction factor and corrected S11
freq	S11o	S11l	S11s	Edf	Erf	Esf	S11a	Za	S11m
 (4.00000e+07+0.00000e+00j)	 (5.85638e+01+5.48252e+00j)	 (4.99384e+01+3.56355e-02j)	 (4.56749e+01+4.21152e-02j)	 (4.99384e+01+3.56355e-02j)	 (6.13605e+00+1.00489e+00j)	 (4.38821e-01+2.37879e-01j)	 (-9.99876e-01-4.24987e-04j)	 (3.10624e-03-1.06260e-02j)	 (4.56750e+01+4.08297e-02j)
 (5.24000e+07+0.00000e+00j)	 (5.59606e+01-5.76466e+00j)	 (5.00919e+01+1.77529e-02j)	 (4.34836e+01+4.66989e-01j)	 (5.00919e+01+1.77529e-02j)	 (7.25955e+00-2.92200e+00j)	 (1.23420e-01-3.65800e-01j)	 (-9.99687e-01+2.91996e-04j)	 (7.82130e-03+7.30217e-03j)	 (4.34849e+01+4.69005e-01j)
 (6.48000e+07+0.00000e+00j)	 (5.46712e+01-5.42436e+00j)	 (5.03245e+01+3.25746e-02j)	 (4.22780e+01+9.79799e+00j)	 (5.03245e+01+3.25746e-02j)	 (5.64522e+00-7.00217e+00j)	 (-2.89214e-01-7.58765e-03j)	 (-1.00001e+00+2.92771e-04j)	 (-2.32509e-04+7.31922e-03j)	 (4.22819e+01+9.80147e+00j)
 (7.72000e+07+0.00000e+00j)	 (5.64511e+01-8.75420e+00j)	 (5.05637e+01+1.59387e-01j)	 (5.01992e+01+9.57564e+00j)	 (5.05637e+01+1.59387e-01j)	 (3.00951e+00-9.95035e+00j)	 (6.74928e-02+2.78285e-01j)	 (-9.99779e-01+1.73032e-04j)	 (5.52074e-03+4.32675e-03j)	 (5.02002e+01+9.57348e+00j)
 (8.96000e+07+0.00000e+00j)	 (4.59983e+01-1.59293e+01j)	 (5.07436e+01+3.04471e-01j)	 (5.17742e+01+9.64026e+00j)	 (5.07436e+01+3.04471e-01j)	 (-2.07644e+00-1.19409e+01j)	 (2.87900e-01-8.02435e-02j)	 (-1.00020e+00+2.12606e-04j)	 (-4.89611e-03+5.31411e-03j)	 (5.17758e+01+9.64161e+00j)
 (1.02000e+08+0.00000e+00j)	 (4.10850e+01-7.49607e+00j)	 (5.07418e+01+4.75822e-01j)	 (5.44767e+01+1.44100e+01j)	 (5.07418e+01+4.75822e-01j)	 (-7.87404e+00-1.16623e+01j)	 (-7.78292e-02-3.17911e-01j)	 (-9.99847e-01+4.64684e-04j)	 (3.82632e-03+1.16189e-02j)	 (5.44837e+01+1.44082e+01j)
 (1.14400e+08+0.00000e+00j)	 (4.03234e+01-5.53269e+00j)	 (5.05534e+01+5.00219e-01j)	 (7.19920e+01+1.29335e+01j)	 (5.05534e+01+5.00219e-01j)	 (-1.38510e+01-8.12429e+00j)	 (-3.52072e-01+3.18996e-03j)	 (-9.99998e-01+5.01379e-04j)	 (5.08414e-05+1.25345e-02j)	 (7.20014e+01+1.29169e+01j)
 (1.26800e+08+0.00000e+00j)	 (3.61227e+01-4.44314e+00j)	 (5.02250e+01+2.44924e-01j)	 (6.90629e+01-3.66300e+00j)	 (5.02250e+01+2.44924e-01j)	 (-1.72801e+01-1.60666e+00j)	 (-1.37505e-01+2.64215e-01j)	 (-9.99918e-01+5.36004e-04j)	 (2.04082e-03+1.34012e-02j)	 (6.90558e+01-3.67219e+00j)
 (1.39200e+08+0.00000e+00j)	 (3.14696e+01+3.66631e+00j)	 (4.99358e+01-2.83355e-01j)	 (6.54667e+01-8.64334e+00j)	 (4.99358e+01-2.83355e-01j)	 (-1.72613e+01+6.44046e+00j)	 (3.48038e-02+1.42328e-01j)	 (-9.99918e-01+7.39368e-04j)	 (2.05039e-03+1.84857e-02j)	 (6.54582e+01-8.65261e+00j)
 (1.51600e+08+0.00000e+00j)	 (3.67032e+01+1.16379e+01j)	 (4.97940e+01-9.57976e-01j)	 (6.27723e+01-1.84577e+01j)	 (4.97940e+01-9.57976e-01j)	 (-1.32427e+01+1.48288e+01j)	 (-9.12423e-02+8.27754e-02j)	 (-9.99841e-01+5.73717e-04j)	 (3.96362e-03+1.43452e-02j)	 (6.27586e+01-1.84616e+01j)
