#FMR data from 2020-12-17 16:08:05.227441, this file includes calibration measurements, correction factor and corrected S11
freq	S11o	S11l	S11s	Edf	Erf	Esf	S11a	Za	S11m
 (4.00000e+07+0.00000e+00j)	 (5.85533e+01+5.47649e+00j)	 (4.99448e+01+3.78577e-02j)	 (4.56813e+01+4.46405e-02j)	 (4.99448e+01+3.78577e-02j)	 (6.13281e+00+1.00574e+00j)	 (4.38066e-01+2.38184e-01j)	 (-1.00178e+00-4.18905e-04j)	 (-4.45655e-02-1.04540e-02j)	 (4.56759e+01+4.42949e-02j)
 (5.24000e+07+0.00000e+00j)	 (5.59620e+01-5.76658e+00j)	 (5.00941e+01+1.78742e-02j)	 (4.34830e+01+4.66887e-01j)	 (5.00941e+01+1.78742e-02j)	 (7.26167e+00-2.92395e+00j)	 (1.23252e-01-3.65986e-01j)	 (-1.00015e+00-2.17487e-04j)	 (-3.83177e-03-5.43635e-03j)	 (4.34824e+01+4.65494e-01j)
 (6.48000e+07+0.00000e+00j)	 (5.46698e+01-5.42346e+00j)	 (5.03286e+01+3.51411e-02j)	 (4.22752e+01+9.79208e+00j)	 (5.03286e+01+3.51411e-02j)	 (5.64253e+00-7.00151e+00j)	 (-2.89276e-01-8.32177e-03j)	 (-9.99884e-01+3.75675e-04j)	 (2.89703e-03+9.39297e-03j)	 (4.22816e+01+9.79482e+00j)
 (7.72000e+07+0.00000e+00j)	 (5.64548e+01-8.75081e+00j)	 (5.05679e+01+1.63150e-01j)	 (5.01972e+01+9.56828e+00j)	 (5.05679e+01+1.63150e-01j)	 (3.00918e+00-9.94262e+00j)	 (6.80999e-02+2.77856e-01j)	 (-1.00031e+00-1.74312e-04j)	 (-7.86522e-03-4.35642e-03j)	 (5.01964e+01+9.57121e+00j)
 (8.96000e+07+0.00000e+00j)	 (4.60131e+01-1.59354e+01j)	 (5.07469e+01+3.08274e-01j)	 (5.17719e+01+9.63821e+00j)	 (5.07469e+01+3.08274e-01j)	 (-2.06784e+00-1.19384e+01j)	 (2.88378e-01-8.00797e-02j)	 (-1.00023e+00+2.55165e-04j)	 (-5.81214e-03+6.37764e-03j)	 (5.17739e+01+9.63981e+00j)
 (1.02000e+08+0.00000e+00j)	 (4.10867e+01-7.49996e+00j)	 (5.07434e+01+4.80660e-01j)	 (5.44755e+01+1.44011e+01j)	 (5.07434e+01+4.80660e-01j)	 (-7.86595e+00-1.16626e+01j)	 (-7.70436e-02-3.17615e-01j)	 (-1.00004e+00+4.25285e-04j)	 (-1.03693e-03+1.06317e-02j)	 (5.44817e+01+1.44022e+01j)
 (1.14400e+08+0.00000e+00j)	 (4.03265e+01-5.53339e+00j)	 (5.05583e+01+5.00875e-01j)	 (7.19693e+01+1.29365e+01j)	 (5.05583e+01+5.00875e-01j)	 (-1.38468e+01-8.12594e+00j)	 (-3.51589e-01+2.92220e-03j)	 (-9.99992e-01+5.00583e-04j)	 (1.99707e-04+1.25147e-02j)	 (7.19786e+01+1.29197e+01j)
 (1.26800e+08+0.00000e+00j)	 (3.61254e+01-4.44673e+00j)	 (5.02316e+01+2.43168e-01j)	 (6.90549e+01-3.64977e+00j)	 (5.02316e+01+2.43168e-01j)	 (-1.72747e+01-1.60838e+00j)	 (-1.36863e-01+2.63955e-01j)	 (-9.99972e-01+5.12865e-04j)	 (6.87099e-04+1.28220e-02j)	 (6.90492e+01-3.65907e+00j)
 (1.39200e+08+0.00000e+00j)	 (3.14680e+01+3.65474e+00j)	 (4.99366e+01-2.84926e-01j)	 (6.54578e+01-8.62932e+00j)	 (4.99366e+01-2.84926e-01j)	 (-1.72564e+01+6.42945e+00j)	 (3.52689e-02+1.42336e-01j)	 (-1.00013e+00+7.65855e-04j)	 (-3.24453e-03+1.91439e-02j)	 (6.54520e+01-8.64104e+00j)
 (1.51600e+08+0.00000e+00j)	 (3.66998e+01+1.16291e+01j)	 (4.97976e+01-9.62151e-01j)	 (6.27696e+01-1.84327e+01j)	 (4.97976e+01-9.62151e-01j)	 (-1.32424e+01+1.48152e+01j)	 (-9.05665e-02+8.27263e-02j)	 (-9.99881e-01+4.60374e-04j)	 (2.98191e-03+1.15107e-02j)	 (6.27588e+01-1.84360e+01j)
 (1.64000e+08+0.00000e+00j)	 (4.11033e+01+1.47928e+01j)	 (4.98807e+01-1.62001e+00j)	 (4.82663e+01-2.47605e+01j)	 (4.98807e+01-1.62001e+00j)	 (-5.15386e+00+2.08543e+01j)	 (-1.18621e-01+2.84210e-01j)	 (-1.00025e+00+8.77676e-04j)	 (-6.13967e-03+2.19365e-02j)	 (4.82436e+01-2.47580e+01j)
 (1.76400e+08+0.00000e+00j)	 (4.61364e+01+2.10415e+01j)	 (5.02180e+01-1.99822e+00j)	 (4.03617e+01-1.84771e+01j)	 (5.02180e+01-1.99822e+00j)	 (4.87922e+00+2.19637e+01j)	 (1.12087e-01+3.69073e-01j)	 (-1.00018e+00+8.76804e-04j)	 (-4.40589e-03+2.19162e-02j)	 (4.03501e+01-1.84681e+01j)
