#FMR data from 2020-12-02 16:55:37.629293, this file includes calibration measurements, correction factor and corrected S11
freq	S11o	S11l	S11s	Edf	Erf	Esf	S11a	Za	S11m
 (4.00000e+07+0.00000e+00j)	 (5.83748e+01+5.75395e+00j)	 (4.99404e+01+3.68518e-02j)	 (4.56717e+01-6.94059e-02j)	 (4.99404e+01+3.68518e-02j)	 (6.11402e+00+1.18055e+00j)	 (4.38309e-01+2.40761e-01j)	 (-9.99948e-01+5.18216e-04j)	 (1.29676e-03+1.29561e-02j)	 (4.56721e+01-6.79250e-02j)
 (5.24000e+07+0.00000e+00j)	 (5.62587e+01-5.51567e+00j)	 (5.00941e+01+2.28665e-02j)	 (4.34654e+01+2.20022e-01j)	 (5.00941e+01+2.28665e-02j)	 (7.39037e+00-2.61605e+00j)	 (1.25657e-01-3.61179e-01j)	 (-1.00024e+00+5.41884e-04j)	 (-6.11980e-03+1.35438e-02j)	 (4.34633e+01+2.22562e-01j)
 (6.48000e+07+0.00000e+00j)	 (5.50292e+01-5.15303e+00j)	 (5.03228e+01+5.01055e-02j)	 (4.17855e+01+9.30943e+00j)	 (5.03228e+01+5.01055e-02j)	 (6.06804e+00-6.66268e+00j)	 (-2.84478e-01-4.38391e-03j)	 (-9.99952e-01+3.69192e-04j)	 (1.18605e-03+9.23024e-03j)	 (4.17908e+01+9.31325e+00j)
 (7.72000e+07+0.00000e+00j)	 (5.71646e+01-8.28610e+00j)	 (5.05500e+01+2.00118e-01j)	 (4.94844e+01+9.51505e+00j)	 (5.05500e+01+2.00118e-01j)	 (3.75033e+00-9.70739e+00j)	 (7.41349e-02+2.79731e-01j)	 (-1.00011e+00+5.36087e-04j)	 (-2.72722e-03+1.34007e-02j)	 (4.94890e+01+9.51532e+00j)
 (8.96000e+07+0.00000e+00j)	 (4.74310e+01-1.64751e+01j)	 (5.07084e+01+3.72653e-01j)	 (5.08564e+01+9.69440e+00j)	 (5.07084e+01+3.72653e-01j)	 (-9.43122e-01-1.20889e+01j)	 (2.98132e-01-8.05567e-02j)	 (-9.99872e-01+7.02751e-04j)	 (3.20445e-03+1.75710e-02j)	 (5.08615e+01+9.69371e+00j)
 (1.02000e+08+0.00000e+00j)	 (4.17718e+01-8.41934e+00j)	 (5.06849e+01+5.50744e-01j)	 (5.28946e+01+1.46017e+01j)	 (5.06849e+01+5.50744e-01j)	 (-6.59823e+00-1.24267e+01j)	 (-6.48735e-02-3.22529e-01j)	 (-9.99965e-01+9.31572e-04j)	 (8.64318e-04+2.32901e-02j)	 (5.29079e+01+1.46036e+01j)
 (1.14400e+08+0.00000e+00j)	 (4.09001e+01-6.58734e+00j)	 (5.04893e+01+5.61225e-01j)	 (6.96231e+01+1.55385e+01j)	 (5.04893e+01+5.61225e-01j)	 (-1.27781e+01-9.68113e+00j)	 (-3.40316e-01-1.04072e-02j)	 (-1.00004e+00+9.97612e-04j)	 (-9.22191e-04+2.49394e-02j)	 (6.96472e+01+1.55108e+01j)
 (1.26800e+08+0.00000e+00j)	 (3.66298e+01-6.03517e+00j)	 (5.01911e+01+2.75405e-01j)	 (6.94375e+01-6.21093e-01j)	 (5.01911e+01+2.75405e-01j)	 (-1.68956e+01-3.87479e+00j)	 (-1.33403e-01+2.41691e-01j)	 (-1.00001e+00+7.97821e-04j)	 (-2.48525e-04+1.99453e-02j)	 (6.94324e+01-6.37380e-01j)
 (1.39200e+08+0.00000e+00j)	 (3.12844e+01+1.36581e+00j)	 (4.99774e+01-2.81357e-01j)	 (6.68803e+01-5.87736e+00j)	 (4.99774e+01-2.81357e-01j)	 (-1.80039e+01+3.77827e+00j)	 (2.66138e-02+1.16351e-01j)	 (-1.00002e+00+9.38295e-04j)	 (-5.22658e-04+2.34569e-02j)	 (6.68739e+01-5.89219e+00j)
 (1.51600e+08+0.00000e+00j)	 (3.54637e+01+9.42137e+00j)	 (4.99545e+01-9.66063e-01j)	 (6.64209e+01-1.61500e+01j)	 (4.99545e+01-9.66063e-01j)	 (-1.55117e+01+1.24522e+01j)	 (-1.14008e-01+6.07660e-02j)	 (-1.00006e+00+1.12622e-03j)	 (-1.41825e-03+2.81538e-02j)	 (6.64012e+01-1.61705e+01j)
