#FMR data, this file includes calibration measurements, correction factor and corrected S11
freq	S11a	S11m	S11o	S11l	S11s	Za	Edf	Erf	Esf
40000000.0	(-1.00077639278221+0.00014089159605035542j)	(45.681497097000005+0.06482940074056248j)	(58.587767791720005+5.415604400635999j)	(49.94547805786001+0.039293794333919996j)	(45.68366546632+0.06404097750782001j)	(-0.019402535498977577+0.003519556794915873j)	(49.94547805786001+0.039293794333919996j)	(6.1333101232441685+0.9745051136767087j)	(0.43775557948246735+0.23700843072418237j)	
52400000.0	(-1.0005084933906576+0.0009621806361616663j)	(43.483294486999995+0.49172273650775j)	(55.96587600708-5.73693294525j)	(50.098387145980006+0.024505982920520003j)	(43.48737411498001+0.4871661305428j)	(-0.012720667088659786+0.02404228344315219j)	(50.098387145980006+0.024505982920520003j)	(7.248506004738142-2.924372090396723j)	(0.12189129093412353-0.36383496581206354j)	
64800000.0	(-1.0002927044132444+0.0011260929923020923j)	(42.310449123375+9.78572773933375j)	(54.67764511108-5.3975547790539995j)	(50.32921524046+0.0345506016165j)	(42.29848556518+9.768886375426j)	(-0.0073323836447428395+0.028144077386803794j)	(50.32921524046+0.0345506016165j)	(5.642618666494522-6.973595289397959j)	(-0.2891822557749906-0.0067561349122347136j)	
77200000.0	(-1.0016138814394238+0.0005014726368088917j)	(50.147262573249996+9.55477380752625j)	(56.49005203246-8.695726585388002j)	(50.563062286379996+0.1658076405524j)	(50.14023895265999+9.542246055601998j)	(-0.04031764040770012+0.012516606663909986j)	(50.563062286379996+0.1658076405524j)	(3.0578482465013406-9.901532866863667j)	(0.06853477995888771+0.2779356823226748j)	
89600000.0	(-1.0011952388700696-4.0386226552930654e-05j)	(51.6916084289625+9.630805015564999j)	(46.17591629027999-15.961464691180002j)	(50.738823699940006+0.3157368540764j)	(51.691545867900004+9.622147178648j)	(-0.029863145319449183-0.0010084499646489048j)	(50.738823699940006+0.3157368540764j)	(-1.9610050568076904-11.925073206951833j)	(0.2894406623565426-0.07871201977603676j)	
102000000.0	(-1.0001308273706928+0.0009682255566412901j)	(54.328058719649995+14.401264667524998j)	(41.1870033264-7.60362253189j)	(50.73675613404001+0.485882127285j)	(54.31401290892+14.398230361940001j)	(-0.0032821862908613848+0.02420246679516047j)	(50.73675613404001+0.485882127285j)	(-7.711540522851157-11.725996144683903j)	(-0.07573482911706547-0.3166400527231917j)	
114400000.0	(-1.0003006500637284+0.0015396506434725656j)	(71.700080871575+13.144787073137502j)	(40.4236099243-5.657454395294j)	(50.54528045652+0.5022018551824j)	(71.66043548584+13.189155578620001j)	(-0.00754474005694969+0.03847967349672786j)	(50.54528045652+0.5022018551824j)	(-13.684020799669106-8.293196157462248j)	(-0.3504448715568843+0.0024778554554878442j)	
126800000.0	(-1.0010319639034386+0.0012599169116669932j)	(69.10744762419998-3.27996429800875j)	(36.22011032104-4.677586364746j)	(50.22463378906+0.2438507974146j)	(69.10027313232-3.246071338652j)	(-0.025805604274067306+0.03146543073869025j)	(50.22463378906+0.2438507974146j)	(-17.207948155423768-1.928448984450224j)	(-0.13675068281006297+0.26177242506066994j)	
139200000.0	(-1.0010595007277825+0.0008909903308355477j)	(65.6811094283875-8.2651088237775j)	(31.44539108276+3.27434539795j)	(49.949637603780005-0.2900319099426j)	(65.67489776612-8.24257736206j)	(-0.026483401392800716+0.022251172476887744j)	(49.949637603780005-0.2900319099426j)	(-17.373768989203263+6.027574116318943j)	(0.03418322865297942+0.1396997564862227j)	
151600000.0	(-1.0004692479081914+0.0014843428125207274j)	(63.3007631302125-18.15048623085j)	(36.496290588360004+11.2641887665j)	(49.82919921872001-0.963719201088j)	(63.32446212768-18.121595001219998j)	(-0.01175596745890014+0.03709114289950825j)	(49.82919921872001-0.963719201088j)	(-13.604924216483921+14.454025858476307j)	(-0.0942518703335609+0.08052366699879653j)	
164000000.0	(-0.9995132055885273+0.002228131070792683j)	(48.892251968375-24.924793004987503j)	(40.77209854126+14.4565038681j)	(49.93582687378-1.61234021187j)	(48.940976715080005-24.95612792968j)	(0.012110720758565683+0.05573033351387503j)	(49.93582687378-1.61234021187j)	(-5.7555740512076925+20.69044845183989j)	(-0.1257590462883647+0.28381481543781373j)	
176400000.0	(-1.0015132767277453+0.0025498616872206593j)	(40.787958621975-18.816416263599997j)	(45.52995452882+20.725470352160002j)	(50.28821105958-1.971165919304j)	(40.83493576048001-18.83095550536j)	(-0.037884402853898366+0.0636500820928512j)	(50.28821105958-1.971165919304j)	(4.166998978742538+22.11644153893704j)	(0.10345736113035474+0.37155192268959425j)	
188800000.0	(-1.002052696520239+0.0018849391084627494j)	(37.7855749130125-15.367237567899998j)	(59.715029144279995+26.32003021238j)	(50.782019805900006-1.8643116950999996j)	(37.826816558839994-15.37191543578j)	(-0.05130907340639241+0.04702685454168963j)	(50.782019805900006-1.8643116950999996j)	(13.037436486525632+19.555674600789313j)	(0.2362604322634751+0.22051051666370605j)	
201200000.0	(-1.0008175738089151+0.0010761046439456364j)	(32.77898883819999-12.154758811j)	(71.07222747803999+21.354112625120003j)	(51.20323486328-1.237988972664j)	(32.80026550294-12.166806602480001j)	(-0.020445450574162295+0.026880626928213837j)	(51.20323486328-1.237988972664j)	(19.904341130652377+15.640716031214176j)	(0.17272153937773224+0.15346741830067784j)	
213600000.0	(-0.9996324432125706+0.002001846796381847j)	(29.090279102325-1.9599709510799999j)	(80.89560394286+14.2427541733j)	(50.9960624695-0.4474475324154j)	(29.080784225480002-1.995147848128j)	(0.009140488760974567+0.05006451961561499j)	(50.9960624695-0.4474475324154j)	(26.28707233024301+5.974813229090588j)	(0.2126917099540326+0.18698963531758375j)	
226000000.0	(-1.0005152473372023+0.0034752189813901054j)	(30.3451960086875+6.0273208618175j)	(92.7935470581-3.8752622604380003j)	(50.322231292720005+0.3291883587836j)	(30.33526039122+5.974207305908j)	(-0.013028713053053363+0.08683546484828121j)	(50.322231292720005+0.3291883587836j)	(27.376283048862817-6.050908249570285j)	(0.3477057450066133+0.07789655690265732j)	
238400000.0	(-1.001575533455094+0.00303638174068513j)	(30.001634359362498+11.497173070887499j)	(76.49378204345999-30.205071258559997j)	(49.29589004516001+0.7423345923424001j)	(30.0069087982+11.44027347564j)	(-0.03947230496168759+0.07578991225294744j)	(49.29589004516001+0.7423345923424001j)	(23.60471471976708-17.05393582539148j)	(0.3108712115689349-0.15710086921414415j)	
250800000.0	(-1.001079168745425+0.002148111020641514j)	(30.1619348525875+20.9670689105875j)	(55.6401473999-30.675542831420003j)	(48.25803756713999+0.6098348855974001j)	(30.15322990418+20.90918159486j)	(-0.02702225534863885+0.05364480621466872j)	(48.25803756713999+0.6098348855974001j)	(14.601003083100496-26.654725353369678j)	(0.08863221575970592-0.2516570543918021j)	
263200000.0	(-1.0000647048096656+0.0021693012802519026j)	(41.1365189552125+32.54889297485j)	(43.45012893676-28.947078704819997j)	(47.580242157+0.0353326462209j)	(41.0671508789+32.51891326902j)	(-0.0016763854819304004+0.05422895927646731j)	(47.580242157+0.0353326462209j)	(0.5543397214928706-31.530046412196434j)	(-0.06357861157151522-0.17069110454576497j)	
275600000.0	(-1.0006616784804876+0.003344480696441877j)	(54.4654412269625+32.5585718154875j)	(33.48049087526-27.506727981580003j)	(47.6321052551-1.0695274114620001j)	(54.34301223756+32.53940734864j)	(-0.016676171409360785+0.08355648707965946j)	(47.6321052551-1.0695274114620001j)	(-11.214086622910841-30.327781706624002j)	(-0.06815584835986181-0.14759668030280246j)	
288000000.0	(-1.0012461630059155+0.004048367533764761j)	(71.54470729827499+32.95724296568749j)	(25.541133499140003-17.874875640859997j)	(48.2793159485-1.8022648811320001j)	(71.3277557373+32.97131805418j)	(-0.031339158398749636+0.10108276932458662j)	(48.2793159485-1.8022648811320001j)	(-24.539954992502548-23.46777271940999j)	(-0.20613634861127353-0.1795223815321395j)	
300400000.0	(-1.0012414344965777+0.0033424775869575875j)	(105.14207744612501+20.678333282462496j)	(25.1180454254-9.31391296387j)	(49.39384155274001-1.9676438093200002j)	(104.8802581788+20.925914764399998j)	(-0.03115600170548234+0.08345806669373414j)	(49.39384155274001-1.9676438093200002j)	(-33.85043855192659-11.322699829034152j)	(-0.4067330014007851-0.04071794667293277j)	
312800000.0	(-1.000871671569515+0.00303608833260279j)	(105.95519351962498-29.904986619949995j)	(24.61195411682-2.916960048676j)	(50.5516242981-1.359301018716j)	(106.13033599879998-29.63162155152j)	(-0.021897367849944144+0.07583591513796083j)	(50.5516242981-1.359301018716j)	(-37.612469469629254+3.542754144744565j)	(-0.4366163285394782+0.2228444888113387j)	
325200000.0	(-1.0005922879555682+0.003929399846628694j)	(77.96693706512501-42.6321940422125j)	(22.72504615784+6.28203573227j)	(51.16509323118001-0.0003374948166239997j)	(78.21518554688001-42.57922363282j)	(-0.014995645302304633+0.0981764598551956j)	(51.16509323118001-0.0003374948166239997j)	(-34.872718519441115+19.06363312476916j)	(-0.3103156078371738+0.38086228912092607j)	
337600000.0	(-1.0008757291880839+0.004540153892646579j)	(57.73803329468749-43.8428030014j)	(24.397112274200005+18.5205711365j)	(50.82691650387999+1.6257306575800001j)	(57.9748588562-43.8816177368j)	(-0.022140970602206482+0.11340393004343996j)	(50.82691650387999+1.6257306575800001j)	(-25.138998990315134+32.11349350165256j)	(-0.2266338842620042+0.43094188674381617j)	
350000000.0	(-1.0013633883477815+0.004141640924712278j)	(36.170441150675-36.0618176460375j)	(29.30819282532+27.358247756959997j)	(49.54992904666+2.8728426933280002j)	(36.32029266358-36.162086486839996j)	(-0.03427546522989474+0.10339955790684416j)	(49.54992904666+2.8728426933280002j)	(-10.300408651713402+39.66259386049908j)	(-0.16882605833751416+0.5455764393142363j)	
362400000.0	(-1.001428192104097+0.004050302669668244j)	(25.407948017112496-21.070339679712497j)	(33.171961212140005+34.64390716554j)	(47.799992370599995+3.2171704292300003j)	(25.47260017398-21.165596771240004j)	(-0.03588394652135026+0.10111269214523638j)	(47.799992370599995+3.2171704292300003j)	(6.8306129580810255+40.10687044834145j)	(0.034211705291638375+0.6668905652344135j)	
