#FMR data, this file includes calibration measurements, correction factor and corrected S11
freq	S11a	S11m	S11o	S11l	S11s	Za	Edf	Erf	Esf
40000000.0	(-0.9989501104746824+0.0009990030311883699j)	(45.68368301392+0.06359859779476j)	(58.59911346434+5.411427879332002j)	(49.945030975339996+0.04128838554026001j)	(45.68016510008001+0.06122485175728j)	(0.02624852896787925+0.0250013112671201j)	(49.945030975339996+0.04128838554026001j)	(6.135458242988562+0.9780082770755945j)	(0.43750182882953115+0.2360371962838321j)	
52400000.0	(-0.9994649024667862+0.00037974093094011747j)	(43.48455047608001+0.4923573553562j)	(55.971133422840005-5.7458561897300005j)	(50.09760665894001+0.02406626939774j)	(43.482144165040005+0.48956057429320005j)	(0.013379214418120905+0.009498604931205959j)	(50.09760665894001+0.02406626939774j)	(7.254492674635568-2.9285646552931244j)	(0.12218962451194264-0.36372238196327844j)	
64800000.0	(-0.9998067820419849+0.0007038564416011226j)	(42.3128189087+9.784273338318j)	(54.683312225319995-5.401222515105999j)	(50.32880477904+0.037164230644679996j)	(42.30104599+9.778872489928j)	(0.004824721192193679+0.017599809295179833j)	(50.32880477904+0.037164230644679996j)	(5.6469351775226-6.980610994557173j)	(-0.2887461376723822-0.006450538790945709j)	
77200000.0	(-0.9998460211187183+0.0006840153428297421j)	(50.15016174316+9.553492927552j)	(56.49189834594-8.694421958922002j)	(50.5649131775+0.16889667212979997j)	(50.14473953246+9.555988121034j)	(0.003843918610860433+0.017103014971952723j)	(50.5649131775+0.16889667212979997j)	(3.059138540771115-9.9086911743204j)	(0.06801283961931846+0.2780826954981313j)	
89600000.0	(-1.0000192351137318+0.0011982119570964987j)	(51.69537582398+9.629339027405997j)	(46.16863937378-15.964760589600003j)	(50.739549255360004+0.31383849382400003j)	(51.686689758280004+9.629544067384002j)	(-0.0004988190929135688+0.029954711990765708j)	(50.739549255360004+0.31383849382400003j)	(-1.9592475574164345-11.934135952722766j)	(0.2891342882833005-0.07924856077200472j)	
102000000.0	(-0.9997361356522312+0.0013660047001906707j)	(54.334835052500004+14.39822998048j)	(41.1759399414-7.609646511078001j)	(50.7352279663+0.4832173585892j)	(54.31449661252+14.400527000400002j)	(0.006574145280122021+0.03415911434765682j)	(50.7352279663+0.4832173585892j)	(-7.717645108601515-11.73230108355262j)	(-0.07552967440195858-0.3167794330437867j)	
114400000.0	(-0.9998072178827039+0.0013997148745294942j)	(71.70250854492001+13.129245567300002j)	(40.41633377074001-5.664774513244j)	(50.547122192379994+0.5004354476926001j)	(71.68171844481999+13.17863693236j)	(0.004795520446149733+0.03499960169254655j)	(50.547122192379994+0.5004354476926001j)	(-13.69647095100102-8.2964136059575j)	(-0.3502670061135608+0.002790107628492925j)	
126800000.0	(-0.9999230929748304+0.0014630974100323043j)	(69.10046691896-3.286493682864j)	(36.2149368286-4.680882549281999j)	(50.22417907716+0.2421603351832j)	(69.11625671388002-3.259582948686j)	(0.0018959883175719992+0.0365802288968983j)	(50.22417907716+0.2421603351832j)	(-17.21954480336574-1.927744689943629j)	(-0.13709106605573845+0.261984433324242j)	
139200000.0	(-0.9998957246510891+0.0014722794408506305j)	(65.67070770261999-8.27121143341j)	(31.44378471376+3.2813486576060003j)	(49.94711380006001-0.29032106995580004j)	(65.68626403806-8.25170097351j)	(0.002579920338535089+0.036810804432840454j)	(49.94711380006001-0.29032106995580004j)	(-17.380930843381122+6.033412988291988j)	(0.0337216505823657+0.13955250145718412j)	
151600000.0	(-0.9999241741749663+0.0014683270355337421j)	(63.29214706420001-18.150962066640002j)	(36.49269790651999+11.27779808046j)	(49.82737503052-0.9644520640372j)	(63.32267761231999-18.13324165344j)	(0.0018687646435336148+0.03671093968581285j)	(49.82737503052-0.9644520640372j)	(-13.605525981689345+14.467159891340623j)	(-0.09414364741992094+0.080420369810328j)	
164000000.0	(-0.9998143358629312+0.0017234952175294283j)	(48.884615325940004-24.914763641340002j)	(40.76596298218+14.467214202900003j)	(49.93365325928001-1.610100674628j)	(48.923921203620004-24.9344657898j)	(0.004604893594287673+0.04309534932470122j)	(49.93365325928001-1.610100674628j)	(-5.7453002346466375+20.693789338001373j)	(-0.12508547298972678+0.28419763821222627j)	
176400000.0	(-0.9999851270458538+0.0017375732106556503j)	(40.78696594238001-18.80557899474j)	(45.52523117064001+20.73899612428j)	(50.28639678956-1.970820569992j)	(40.80608825684-18.827168655420003j)	(0.0003340862969809859+0.04343994355623541j)	(50.28639678956-1.970820569992j)	(4.186427884959321+22.131034047859156j)	(0.10353744300545997+0.3722898649421201j)	
188800000.0	(-0.9997871475189172+0.00196067938520383j)	(37.785665130619996-15.35800361634j)	(59.72370834349999+26.30934982298j)	(50.78168945312-1.8654867410660003j)	(37.80032577514-15.383538627619998j)	(0.0052738098194842625+0.049027372554137603j)	(50.78168945312-1.8654867410660003j)	(13.054738438992006+19.566469537547288j)	(0.23548611213845405+0.22070902869802553j)	
201200000.0	(-0.9997737836114844+0.0022913728663314786j)	(32.77721328734-12.140731430039999j)	(71.12057800294001+21.33747673034j)	(51.20419540406-1.238251304626j)	(32.78988494872-12.180459213240002j)	(0.005590397399601282+0.05729720728439564j)	(51.20419540406-1.238251304626j)	(19.923194600899706+15.640389457054958j)	(0.17260310639351004+0.15257277645146952j)	
213600000.0	(-0.9998404546133266+0.002214864184974613j)	(29.09201469422-1.9513558864580003j)	(80.97536010742+14.237708091720002j)	(51.00023803712-0.4465609371664j)	(29.085940551760004-1.9906089544280001j)	(0.003927617982213251+0.05538037203600116j)	(51.00023803712-0.4465609371664j)	(26.3084021547089+5.959130913613855j)	(0.21364781009826897+0.1864171288861479j)	
