#FMR data, this file includes calibration measurements, correction factor and corrected S11
freq	S11a	S11m	S11o	S11l	S11s	Za	Edf	Erf	Esf
40000000.0	(-0.9993258865706157+0.0016384010485305778j)	(45.68290786744001+0.06562743708492001j)	(58.59911346434+5.411427879332002j)	(49.945030975339996+0.04128838554026001j)	(45.68016510008001+0.06122485175728j)	(0.016824929606742412+0.0409876243584283j)	(49.945030975339996+0.04128838554026001j)	(6.135458242988562+0.9780082770755945j)	(0.43750182882953115+0.2360371962838321j)	
52400000.0	(-0.9998195469230889+0.0005981364746371683j)	(43.48231887816+0.49306919574740005j)	(55.971133422840005-5.7458561897300005j)	(50.09760665894001+0.02406626939774j)	(43.482144165040005+0.48956057429320005j)	(0.004507260700067098+0.014956109282411229j)	(50.09760665894001+0.02406626939774j)	(7.254492674635568-2.9285646552931244j)	(0.12218962451194264-0.36372238196327844j)	
64800000.0	(-0.9999238193971379+0.0007647814644306459j)	(42.312313079839996+9.786559486392j)	(54.683312225319995-5.401222515105999j)	(50.32880477904+0.037164230644679996j)	(42.30104599+9.778872489928j)	(0.0018972756498198886+0.019120990435680454j)	(50.32880477904+0.037164230644679996j)	(5.6469351775226-6.980610994557173j)	(-0.2887461376723822-0.006450538790945709j)	
77200000.0	(-1.0000155113189837+0.0009407485979632966j)	(50.15259933472001+9.554448890686002j)	(56.49189834594-8.694421958922002j)	(50.5649131775+0.16889667212979997j)	(50.14473953246+9.555988121034j)	(-0.00039884230632336294+0.023518344943636978j)	(50.5649131775+0.16889667212979997j)	(3.059138540771115-9.9086911743204j)	(0.06801283961931846+0.2780826954981313j)	
89600000.0	(-1.000376305878605+0.0009665497193042127j)	(51.69379959106+9.631991958618j)	(46.16863937378-15.964760589600003j)	(50.739549255360004+0.31383849382400003j)	(51.686689758280004+9.629544067384002j)	(-0.00941754835933616+0.024154646950422156j)	(50.739549255360004+0.31383849382400003j)	(-1.9592475574164345-11.934135952722766j)	(0.2891342882833005-0.07924856077200472j)	
102000000.0	(-0.9999745632388238+0.0012737182234655179j)	(54.33320617674+14.401622009260002j)	(41.1759399414-7.609646511078001j)	(50.7352279663+0.4832173585892j)	(54.31449661252+14.400527000400002j)	(0.0006156468753971223+0.03184375266792593j)	(50.7352279663+0.4832173585892j)	(-7.717645108601515-11.73230108355262j)	(-0.07552967440195858-0.3167794330437867j)	
114400000.0	(-0.999837306325386+0.0014251077879387814j)	(71.70398101805999+13.128998184220002j)	(40.41633377074001-5.664774513244j)	(50.547122192379994+0.5004354476926001j)	(71.68171844481999+13.17863693236j)	(0.004042279921587773+0.03563347371115684j)	(50.547122192379994+0.5004354476926001j)	(-13.69647095100102-8.2964136059575j)	(-0.3502670061135608+0.002790107628492925j)	
126800000.0	(-0.9998526549228112+0.0014831335973225913j)	(69.09893951416-3.286182451248j)	(36.2149368286-4.680882549281999j)	(50.22417907716+0.2421603351832j)	(69.11625671388002-3.259582948686j)	(0.003656396203134766+0.03708378345155934j)	(50.22417907716+0.2421603351832j)	(-17.21954480336574-1.927744689943629j)	(-0.13709106605573845+0.261984433324242j)	
139200000.0	(-1.000140237037765+0.0017746787614687798j)	(65.67121734618-8.277764701844j)	(31.44378471376+3.2813486576060003j)	(49.94711380006001-0.29032106995580004j)	(65.68626403806-8.25170097351j)	(-0.0035450403786359995+0.04436071287530185j)	(49.94711380006001-0.29032106995580004j)	(-17.380930843381122+6.033412988291988j)	(0.0337216505823657+0.13955250145718412j)	
151600000.0	(-0.9998863367364195+0.0015032676880312533j)	(63.29094848632-18.150658798220004j)	(36.49269790651999+11.27779808046j)	(49.82737503052-0.9644520640372j)	(63.32267761231999-18.13324165344j)	(0.002813490617968619+0.037585942986021886j)	(49.82737503052-0.9644520640372j)	(-13.605525981689345+14.467159891340623j)	(-0.09414364741992094+0.080420369810328j)	
164000000.0	(-0.9998266267153285+0.0017232433540004786j)	(48.88451232908-24.915057754499998j)	(40.76596298218+14.467214202900003j)	(49.93365325928001-1.610100674628j)	(48.923921203620004-24.9344657898j)	(0.004297578654920745+0.043088521936229515j)	(49.93365325928001-1.610100674628j)	(-5.7453002346466375+20.693789338001373j)	(-0.12508547298972678+0.28419763821222627j)	
176400000.0	(-0.9998884884742664+0.0016475220035050005j)	(40.789157104480005-18.805614852900003j)	(45.52523117064001+20.73899612428j)	(50.28639678956-1.970820569992j)	(40.80608825684-18.827168655420003j)	(0.002754008825028967+0.04119261545839292j)	(50.28639678956-1.970820569992j)	(4.186427884959321+22.131034047859156j)	(0.10353744300545997+0.3722898649421201j)	
188800000.0	(-0.9998965040951742+0.0020715117126744458j)	(37.7833717346-15.35762805938j)	(59.72370834349999+26.30934982298j)	(50.78168945312-1.8654867410660003j)	(37.80032577514-15.383538627619998j)	(0.0025338837398994635+0.05179309748852818j)	(50.78168945312-1.8654867410660003j)	(13.054738438992006+19.566469537547288j)	(0.23548611213845405+0.22070902869802553j)	
201200000.0	(-0.9999082511685545+0.002182731857230145j)	(32.775757598860004-12.143502426140001j)	(71.12057800294001+21.33747673034j)	(51.20419540406-1.238251304626j)	(32.78988494872-12.180459213240002j)	(0.0022342639087434826+0.05457323834568238j)	(51.20419540406-1.238251304626j)	(19.923194600899706+15.640389457054958j)	(0.17260310639351004+0.15257277645146952j)	
213600000.0	(-0.9997812447854316+0.0019785436312437362j)	(29.09272727966-1.955654096602j)	(80.97536010742+14.237708091720002j)	(51.00023803712-0.4465609371664j)	(29.085940551760004-1.9906089544280001j)	(0.005420529654332171+0.04947436454592212j)	(51.00023803712-0.4465609371664j)	(26.3084021547089+5.959130913613855j)	(0.21364781009826897+0.1864171288861479j)	
226000000.0	(-0.9998077089008989+0.002419815260016767j)	(30.35195388794+6.036474227906001j)	(92.8608947754-3.8772354125980004j)	(50.32474746706001+0.32885619997980003j)	(30.33695259094+6.00227613449j)	(0.004734524888004689+0.06050692730998347j)	(50.32474746706001+0.32885619997980003j)	(27.393522206390838-6.080186448297579j)	(0.3482326666125712+0.07849308283098512j)	
238400000.0	(-1.0000796525442197+0.0023695973586412592j)	(30.007817840580003+11.50595188138j)	(76.5001144409-30.2113166809j)	(49.297989654540004+0.7441498041152002j)	(29.994070434599998+11.468729400620001j)	(-0.00206141321383493+0.05923513249187311j)	(49.297989654540004+0.7441498041152002j)	(23.613705725595747-17.080919867306758j)	(0.31039145732273404-0.15683459644515535j)	
250800000.0	(-0.9999980071560152+0.002828503628476456j)	(30.17455368044+20.98064613344j)	(55.60749969484-30.66521148682j)	(48.260679626480005+0.6101645350456j)	(30.1347640991+20.924280548080002j)	(-5.018435936122879e-05+0.07071259019817017j)	(48.260679626480005+0.6101645350456j)	(14.592936443059667-26.673059010924252j)	(0.08788014025576758-0.2523312892297014j)	
263200000.0	(-1.0001875185402611+0.0028546690446454486j)	(41.15692138672+32.557889556860005j)	(43.41137847900001-28.957041931140004j)	(47.581915283220006+0.03455418869854j)	(41.06701965330001+32.515072631840006j)	(-0.004789359345435327+0.07135320007424224j)	(47.581915283220006+0.03455418869854j)	(0.5349998962226367-31.541449557188937j)	(-0.06329330437582338-0.17141187174590028j)	
275600000.0	(-0.9999570262647247+0.003175486795888161j)	(54.498114776600005+32.55849151611999j)	(33.448349761959996-27.51851158142j)	(47.627848815920004-1.077009010314j)	(54.38268508912+32.5648323059j)	(0.000948312204174345+0.07939038142426276j)	(47.627848815920004-1.077009010314j)	(-11.252128357845896-30.34247078248871j)	(-0.06847149584356975-0.14742967787734837j)	
