#FMR data, this file includes calibration measurements, correction factor and corrected S11
freq	S11a	S11m	S11o	S11l	S11s	Za	Edf	Erf	Esf
40000000.0	(-1.0002887532639717+0.0004326165350561659j)	(45.6795425415+0.06261431947352j)	(58.59911346434+5.411427879332002j)	(49.945030975339996+0.04128838554026001j)	(45.68016510008001+0.06122485175728j)	(-0.00722012796937323+0.010812290560936522j)	(49.945030975339996+0.04128838554026001j)	(6.135458242988562+0.9780082770755945j)	(0.43750182882953115+0.2360371962838321j)	
52400000.0	(-0.9997249701629883+0.0003004964745046831j)	(43.48323822020001+0.4915727555752001j)	(55.971133422840005-5.7458561897300005j)	(50.09760665894001+0.02406626939774j)	(43.482144165040005+0.48956057429320005j)	(0.006875562380580131+0.007514478256609949j)	(50.09760665894001+0.02406626939774j)	(7.254492674635568-2.9285646552931244j)	(0.12218962451194264-0.36372238196327844j)	
64800000.0	(-1.0000603043963505+0.0007036767868392204j)	(42.3099258423+9.787718963624002j)	(54.683312225319995-5.401222515105999j)	(50.32880477904+0.037164230644679996j)	(42.30104599+9.778872489928j)	(-0.0015137534045204795+0.017590856671418204j)	(50.32880477904+0.037164230644679996j)	(5.6469351775226-6.980610994557173j)	(-0.2887461376723822-0.006450538790945709j)	
77200000.0	(-1.0002087539854807+0.0009363543089218343j)	(50.15290527342+9.556065177916j)	(56.49189834594-8.694421958922002j)	(50.5649131775+0.16889667212979997j)	(50.14473953246+9.555988121034j)	(-0.005229261024994711+0.023403966666840362j)	(50.5649131775+0.16889667212979997j)	(3.059138540771115-9.9086911743204j)	(0.06801283961931846+0.2780826954981313j)	
89600000.0	(-0.9999194910067218+0.001177607257953547j)	(51.695198059060004+9.62862224579j)	(46.16863937378-15.964760589600003j)	(50.739549255360004+0.31383849382400003j)	(51.686689758280004+9.629544067384002j)	(0.001995469283235162+0.029442541583085357j)	(50.739549255360004+0.31383849382400003j)	(-1.9592475574164345-11.934135952722766j)	(0.2891342882833005-0.07924856077200472j)	
102000000.0	(-0.9999746724734168+0.001220738533113233j)	(54.33242874146001+14.4015625j)	(41.1759399414-7.609646511078001j)	(50.7352279663+0.4832173585892j)	(54.31449661252+14.400527000400002j)	(0.0006145679503880015+0.030519224929460305j)	(50.7352279663+0.4832173585892j)	(-7.717645108601515-11.73230108355262j)	(-0.07552967440195858-0.3167794330437867j)	
114400000.0	(-1.0000150413825468+0.0014109201836863521j)	(71.70950775146001+13.132895278920001j)	(40.41633377074001-5.664774513244j)	(50.547122192379994+0.5004354476926001j)	(71.68171844481999+13.17863693236j)	(-0.0004009148589082394+0.0352724564894699j)	(50.547122192379994+0.5004354476926001j)	(-13.69647095100102-8.2964136059575j)	(-0.3502670061135608+0.002790107628492925j)	
126800000.0	(-0.9998747269138553+0.0015947444734493515j)	(69.09826354978-3.2885077953320003j)	(36.2149368286-4.680882549281999j)	(50.22417907716+0.2421603351832j)	(69.11625671388002-3.259582948686j)	(0.0031002272543375915+0.03987358141467367j)	(50.22417907716+0.2421603351832j)	(-17.21954480336574-1.927744689943629j)	(-0.13709106605573845+0.261984433324242j)	
139200000.0	(-0.9999414800138007+0.0012794407810926285j)	(65.67319183348-8.268963623046j)	(31.44378471376+3.2813486576060003j)	(49.94711380006001-0.29032106995580004j)	(65.68626403806-8.25170097351j)	(0.001442578566798008+0.03198787833933933j)	(49.94711380006001-0.29032106995580004j)	(-17.380930843381122+6.033412988291988j)	(0.0337216505823657+0.13955250145718412j)	
151600000.0	(-0.9998686833972475+0.001390418633311714j)	(63.292987060559994-18.14882507324j)	(36.49269790651999+11.27779808046j)	(49.82737503052-0.9644520640372j)	(63.32267761231999-18.13324165344j)	(0.0032589600848959553+0.03476501410397987j)	(49.82737503052-0.9644520640372j)	(-13.605525981689345+14.467159891340623j)	(-0.09414364741992094+0.080420369810328j)	
164000000.0	(-1.000027575670796+0.0018971045110240043j)	(48.878601837160005-24.918287658700002j)	(40.76596298218+14.467214202900003j)	(49.93365325928001-1.610100674628j)	(48.923921203620004-24.9344657898j)	(-0.0007343679326135901+0.047426262283743345j)	(49.93365325928001-1.610100674628j)	(-5.7453002346466375+20.693789338001373j)	(-0.12508547298972678+0.28419763821222627j)	
176400000.0	(-1.0001598001745688+0.0016593537193950489j)	(40.78568267822-18.80848312378j)	(45.52523117064001+20.73899612428j)	(50.28639678956-1.970820569992j)	(40.80608825684-18.827168655420003j)	(-0.004029095100689397+0.04147718610711539j)	(50.28639678956-1.970820569992j)	(4.186427884959321+22.131034047859156j)	(0.10353744300545997+0.3722898649421201j)	
188800000.0	(-1.0000084995022047+0.0019837072779011916j)	(37.782792663580004-15.3596715927j)	(59.72370834349999+26.30934982298j)	(50.78168945312-1.8654867410660003j)	(37.80032577514-15.383538627619998j)	(-0.0002616746586544378+0.04959221165001126j)	(50.78168945312-1.8654867410660003j)	(13.054738438992006+19.566469537547288j)	(0.23548611213845405+0.22070902869802553j)	
201200000.0	(-0.9999831880899358+0.001975190485166546j)	(32.77600097656-12.147490310679999j)	(71.12057800294001+21.33747673034j)	(51.20419540406-1.238251304626j)	(32.78988494872-12.180459213240002j)	(0.000371532884220926+0.0493805441439061j)	(51.20419540406-1.238251304626j)	(19.923194600899706+15.640389457054958j)	(0.17260310639351004+0.15257277645146952j)	
213600000.0	(-0.999808983120759+0.0020790043302708525j)	(29.092378616340007-1.953823137284j)	(80.97536010742+14.237708091720002j)	(51.00023803712-0.4465609371664j)	(29.085940551760004-1.9906089544280001j)	(0.004721834455117767+0.05198498161838888j)	(51.00023803712-0.4465609371664j)	(26.3084021547089+5.959130913613855j)	(0.21364781009826897+0.1864171288861479j)	
226000000.0	(-1.000067965089151+0.0021996865210408634j)	(30.347062683100003+6.034585285188j)	(92.8608947754-3.8772354125980004j)	(50.32474746706001+0.32885619997980003j)	(30.33695259094+6.00227613449j)	(-0.0017595460111519275+0.05498835915683345j)	(50.32474746706001+0.32885619997980003j)	(27.393522206390838-6.080186448297579j)	(0.3482326666125712+0.07849308283098512j)	
238400000.0	(-1.0002700358222054+0.0021734666057178914j)	(30.003628158560005+11.50411376952j)	(76.5001144409-30.2113166809j)	(49.297989654540004+0.7441498041152002j)	(29.994070434599998+11.468729400620001j)	(-0.006809009668509739+0.05432193113171257j)	(49.297989654540004+0.7441498041152002j)	(23.613705725595747-17.080919867306758j)	(0.31039145732273404-0.15683459644515535j)	
250800000.0	(-0.9999488759424824+0.0027076418341024887j)	(30.173835372919996+20.977544021599996j)	(55.60749969484-30.66521148682j)	(48.260679626480005+0.6101645350456j)	(30.1347640991+20.924280548080002j)	(0.00118648569586223+0.06769438254746855j)	(48.260679626480005+0.6101645350456j)	(14.592936443059667-26.673059010924252j)	(0.08788014025576758-0.2523312892297014j)	
