#FMR data, this file includes calibration measurements, correction factor and corrected S11
freq	S11a	S11m	S11o	S11l	S11s	Za	Edf	Erf	Esf
40000000.0	(-1.000260795103503+0.001159385132100622j)	(45.68423004150001+0.06500307172537j)	(58.58485889435+5.41891169548j)	(49.94232940675+0.0382495969534j)	(45.684413528460006+0.06153730265798j)	(-0.00653582311908643+0.028977060996629483j)	(49.94232940675+0.0382495969534j)	(6.129503873425479+0.9751784806304951j)	(0.43825931378296623+0.2368934166594746j)	
52400000.0	(-0.9999484075574642+0.0005423122495376668j)	(43.48728332520001+0.48877801299100004j)	(55.95875835419999-5.7272924184799985j)	(50.0965652466+0.023656864184899998j)	(43.48773803711999+0.4857498943806j)	(0.0012861677700587758+0.013558504748898569j)	(50.0965652466+0.023656864184899998j)	(7.2424627803156785-2.921500304131377j)	(0.12130434151315246-0.3636580753302926j)	
64800000.0	(-1.0000723669342753+0.0008234698872971917j)	(42.30913810731+9.773117065431002j)	(54.67854404447499-5.3911012411125006j)	(50.326241493225+0.039415863342575j)	(42.29879112242999+9.762740421296j)	(-0.00181758325880234+0.020585253974028467j)	(50.326241493225+0.039415863342575j)	(5.645045463198072-6.969443498982556j)	(-0.28871965250261844-0.006656388529790022j)	
77200000.0	(-1.0004548361185164+0.0009059777563835523j)	(50.149571228029984+9.539780426024j)	(56.489210128775-8.690669536589999j)	(50.56261348725+0.16689947620050002j)	(50.14124221802+9.537603473664j)	(-0.011378570549560096+0.022639140994171972j)	(50.56261348725+0.16689947620050002j)	(3.0562430731824213-9.897243280719195j)	(0.06869490477560464+0.2780928461130425j)	
89600000.0	(-1.0000351898266755+0.0008231348418634245j)	(51.699284744260005+9.618159770967j)	(46.178083419825-15.95497226715j)	(50.73846530912499+0.3179686889055j)	(51.69332275389999+9.618151283264j)	(-0.0008881991267364714+0.02057764343090888j)	(50.73846530912499+0.3179686889055j)	(-1.9617507696404946-11.918494809151712j)	(0.28959645461821415-0.07853286607898308j)	
102000000.0	(-0.9999520001506854+0.0011193186287273853j)	(54.32904739379+14.392059326179998j)	(41.19135570525-7.60149872303j)	(50.734136581425005+0.486433200538j)	(54.31258506774+14.391481494899995j)	(0.0011843629832358042+0.027984300179055673j)	(50.734136581425005+0.486433200538j)	(-7.706705034084701-11.719690113003862j)	(-0.07574256042123777-0.31638131024992266j)	
114400000.0	(-0.9998665574590583+0.0012361734511011154j)	(71.67243270873998+13.144953727709998j)	(40.42902088165-5.65775549412j)	(50.5473127365+0.50491900742075j)	(71.65283813476996+13.187804985060001j)	(0.0033171807481252977+0.03090844883388903j)	(50.5473127365+0.50491900742075j)	(-13.678925500905157-8.295085455983731j)	(-0.350309561548053+0.0026123824588490697j)	
126800000.0	(-0.9998611679643599+0.001265989071838297j)	(69.08081893920999-3.264257121086j)	(36.2241401672-4.681361436845j)	(50.230046272275004+0.24591180309674998j)	(69.09579849241999-3.241717863083j)	(0.003451003568167828+0.0316541085645237j)	(50.230046272275004+0.24591180309674998j)	(-17.20666585925998-1.9301471895920994j)	(-0.13637005172368913+0.2619650973961464j)	
139200000.0	(-0.99991413196999+0.001385201364832397j)	(65.65809631347999-8.256767177580999j)	(31.44783115385+3.2708619832999997j)	(49.95254135129999-0.287955895066j)	(65.67253799438001-8.238329982758001j)	(0.002122805057378068+0.03463299131040989j)	(49.95254135129999-0.287955895066j)	(-17.371653505301254+6.0247193090947855j)	(0.03433273067936117+0.13986089697531537j)	
151600000.0	(-0.9999694836243109+0.0016469041065365706j)	(63.285861968999995-18.136758804299998j)	(36.4974794388+11.261733770349998j)	(49.832201957675004-0.960895240307j)	(63.31937141419001-18.115812683119998j)	(0.0007290158398357455+0.04117383121105535j)	(49.832201957675004-0.960895240307j)	(-13.602960000326819+14.450430128167849j)	(-0.0941496157767186+0.08076998159141217j)	
164000000.0	(-0.9999017956884122+0.0016885322672285051j)	(48.89991912840999-24.933049011229997j)	(40.769600868249995+14.44670581815j)	(49.9402656555-1.6128258407099998j)	(48.93922080992001-24.95038242339j)	(0.002419583856480935+0.042217422419872974j)	(49.9402656555-1.6128258407099998j)	(-5.759002930217547+20.686549502791205j)	(-0.12578748092306968+0.2842683570097707j)	
176400000.0	(-0.9998207914961985+0.0016676671444399369j)	(40.82479400634-18.80673904419j)	(45.525138854975+20.71787309645j)	(50.290810585-1.9749625623224998j)	(40.84114303589-18.82924633027j)	(0.004445840833322532+0.04169912212098456j)	(50.290810585-1.9749625623224998j)	(4.163575639465202+22.11319544743858j)	(0.10360793225521851+0.37172463162285374j)	
188800000.0	(-0.9997660829635697+0.0018684402744297735j)	(37.81823120116999-15.34224452973j)	(59.69375228882501+26.321696281424998j)	(50.78363704679999-1.8704998791225j)	(37.831793975829996-15.36677865982j)	(0.005804956315163142+0.046721894491377536j)	(50.78363704679999-1.8704998791225j)	(13.033249179207463+19.552334315786158j)	(0.23660653054614927+0.2210301516021849j)	
