#FMR data, this file includes calibration measurements, correction factor and corrected S11
freq	S11a	S11m	S11o	S11l	S11s	Za	Edf	Erf	Esf
40000000.0	(-0.9994767879983585+0.0006824491641021585j)	(45.68550968169999+0.0657515064813j)	(58.587767791720005+5.415604400635999j)	(49.94547805786001+0.039293794333919996j)	(45.68366546632+0.06404097750782001j)	(0.013077896539974978+0.017070157257908544j)	(49.94547805786001+0.039293794333919996j)	(6.1333101232441685+0.9745051136767087j)	(0.43775557948246735+0.23700843072418237j)	
52400000.0	(-1.000022511630274+0.0005444211799512394j)	(43.486512660974995+0.4901046268641248j)	(55.96587600708-5.73693294525j)	(50.098387145980006+0.024505982920520003j)	(43.48737411498001+0.4871661305428j)	(-0.0005664892271368829+0.013610222100270316j)	(50.098387145980006+0.024505982920520003j)	(7.248506004738142-2.924372090396723j)	(0.12189129093412353-0.36383496581206354j)	
64800000.0	(-0.9999803375263882+0.0006806456900583992j)	(42.307959556575+9.776394367218748j)	(54.67764511108-5.3975547790539995j)	(50.32921524046+0.0345506016165j)	(42.29848556518+9.768886375426j)	(0.00048577552093196453+0.017016474864961308j)	(50.32921524046+0.0345506016165j)	(5.642618666494522-6.973595289397959j)	(-0.2891822557749906-0.0067561349122347136j)	
77200000.0	(-0.9999808146628341+0.001238054572823578j)	(50.150497436512495+9.53990089893375j)	(56.49005203246-8.695726585388002j)	(50.563062286379996+0.1658076405524j)	(50.14023895265999+9.542246055601998j)	(0.00046047774704362156+0.030951946280642326j)	(50.563062286379996+0.1658076405524j)	(3.0578482465013406-9.901532866863667j)	(0.06853477995888771+0.2779356823226748j)	
89600000.0	(-0.9997846391420704+0.0008650663798872172j)	(51.697741985337494+9.620332837103748j)	(46.17591629027999-15.961464691180002j)	(50.738823699940006+0.3157368540764j)	(51.691545867900004+9.622147178648j)	(0.005375243995685934+0.021631313737754964j)	(50.738823699940006+0.3157368540764j)	(-1.9610050568076904-11.925073206951833j)	(0.2894406623565426-0.07871201977603676j)	
102000000.0	(-0.9997423510654263+0.001336389658905824j)	(54.33390712737499+14.3959903717j)	(41.1870033264-7.60362253189j)	(50.73675613404001+0.485882127285j)	(54.31401290892+14.398230361940001j)	(0.00641972042195079+0.033418336195996136j)	(50.73675613404001+0.485882127285j)	(-7.711540522851157-11.725996144683903j)	(-0.07573482911706547-0.3166400527231917j)	
114400000.0	(-0.9999694218416428+0.001437190569524911j)	(71.68729400634999+13.141717195512499j)	(40.4236099243-5.657454395294j)	(50.54528045652+0.5022018551824j)	(71.66043548584+13.189155578620001j)	(0.0007386455167936038+0.035930844374832856j)	(50.54528045652+0.5022018551824j)	(-13.684020799669106-8.293196157462248j)	(-0.3504448715568843+0.0024778554554878442j)	
126800000.0	(-0.9999187618086618+0.0014556932532446372j)	(69.08451461790001-3.27277880907j)	(36.22011032104-4.677586364746j)	(50.22463378906+0.2438507974146j)	(69.10027313232-3.246071338652j)	(0.002004546032771341+0.036395268676084044j)	(50.22463378906+0.2438507974146j)	(-17.207948155423768-1.928448984450224j)	(-0.13675068281006297+0.26177242506066994j)	
139200000.0	(-0.9998255131927365+0.0015564881549130817j)	(65.65758132935-8.2625608444225j)	(31.44539108276+3.27434539795j)	(49.949637603780005-0.2900319099426j)	(65.67489776612-8.24257736206j)	(0.004332259684101866+0.038918970851751146j)	(49.949637603780005-0.2900319099426j)	(-17.373768989203263+6.027574116318943j)	(0.03418322865297942+0.1396997564862227j)	
151600000.0	(-0.9998549525525399+0.0015894280212981767j)	(63.29060173034999-18.1395108699875j)	(36.496290588360004+11.2641887665j)	(49.82919921872001-0.963719201088j)	(63.32446212768-18.121595001219998j)	(0.0035948638205458953+0.039741439618286495j)	(49.82919921872001-0.963719201088j)	(-13.604924216483921+14.454025858476307j)	(-0.0942518703335609+0.08052366699879653j)	
164000000.0	(-1.0000062875216964+0.0020105523452879745j)	(48.8930597305125-24.9384496212j)	(40.77209854126+14.4565038681j)	(49.93582687378-1.61234021187j)	(48.940976715080005-24.95612792968j)	(-0.00020771602980115055+0.05026344180398349j)	(49.93582687378-1.61234021187j)	(-5.7555740512076925+20.69044845183989j)	(-0.1257590462883647+0.28381481543781373j)	
