#FMR data from 2020-12-03 14:09:25.324886, this file includes calibration measurements, correction factor and corrected S11
freq	S11o	S11l	S11s	Edf	Erf	Esf	S11a	Za	S11m
 (4.00000e+07+0.00000e+00j)	 (5.86135e+01+5.42470e+00j)	 (4.99420e+01+3.91914e-02j)	 (4.56767e+01+8.31053e-02j)	 (4.99420e+01+3.91914e-02j)	 (6.14836e+00+9.53695e-01j)	 (4.39036e-01+2.38411e-01j)	 (-1.00029e+00+5.61962e-04j)	 (-7.13045e-03+1.40450e-02j)	 (4.56762e+01+8.48680e-02j)
 (4.43500e+07+0.00000e+00j)	 (6.26007e+01-1.60728e+00j)	 (4.99838e+01+3.23514e-02j)	 (4.53152e+01+7.23074e-03j)	 (4.99838e+01+3.23514e-02j)	 (6.83980e+00-2.10174e-01j)	 (4.64760e-01-5.28994e-02j)	 (-9.99850e-01+2.69499e-04j)	 (3.74042e-03+6.73848e-03j)	 (4.53156e+01+8.10828e-03j)
 (4.87000e+07+0.00000e+00j)	 (5.81460e+01-5.91723e+00j)	 (5.00398e+01+2.36633e-02j)	 (4.45603e+01+1.88507e-01j)	 (5.00398e+01+2.36633e-02j)	 (7.18560e+00-1.75963e+00j)	 (3.19817e-01-2.81422e-01j)	 (-1.00002e+00+5.03196e-04j)	 (-5.95222e-04+1.25796e-02j)	 (4.45598e+01+1.90501e-01j)
 (5.30500e+07+0.00000e+00j)	 (5.57228e+01-5.72876e+00j)	 (5.01039e+01+2.07266e-02j)	 (4.32493e+01+6.22666e-01j)	 (5.01039e+01+2.07266e-02j)	 (7.23779e+00-3.17593e+00j)	 (8.82002e-02-3.67768e-01j)	 (-9.99784e-01+7.33520e-04j)	 (5.40285e-03+1.83420e-02j)	 (4.32495e+01+6.27243e-01j)
 (5.74000e+07+0.00000e+00j)	 (5.48049e+01-5.35013e+00j)	 (5.01820e+01+2.17453e-02j)	 (4.14289e+01+2.27652e+00j)	 (5.01820e+01+2.17453e-02j)	 (6.89500e+00-4.65782e+00j)	 (-1.32758e-01-3.08731e-01j)	 (-1.00028e+00+4.52447e-04j)	 (-7.07380e-03+1.13080e-02j)	 (4.14257e+01+2.28070e+00j)
 (6.17500e+07+0.00000e+00j)	 (5.45210e+01-5.31729e+00j)	 (5.02651e+01+2.21047e-02j)	 (4.05549e+01+6.46755e+00j)	 (5.02651e+01+2.21047e-02j)	 (6.17362e+00-6.14347e+00j)	 (-2.67148e-01-1.46229e-01j)	 (-9.99947e-01+4.21829e-04j)	 (1.31214e-03+1.05463e-02j)	 (4.05582e+01+6.47333e+00j)
 (6.61000e+07+0.00000e+00j)	 (5.48066e+01-5.52703e+00j)	 (5.03512e+01+4.04534e-02j)	 (4.35407e+01+1.07125e+01j)	 (5.03512e+01+4.04534e-02j)	 (5.42890e+00-7.34674e+00j)	 (-2.80126e-01+4.93021e-02j)	 (-1.00011e+00+5.85955e-04j)	 (-2.76071e-03+1.46473e-02j)	 (4.35488e+01+1.07191e+01j)
 (7.04500e+07+0.00000e+00j)	 (5.54721e+01-6.12262e+00j)	 (5.04372e+01+8.02015e-02j)	 (4.74986e+01+1.11178e+01j)	 (5.04372e+01+8.02015e-02j)	 (4.68073e+00-8.39070e+00j)	 (-1.84692e-01+2.07010e-01j)	 (-1.00002e+00+4.99815e-04j)	 (-5.65239e-04+1.24951e-02j)	 (4.75054e+01+1.11182e+01j)
 (7.48000e+07+0.00000e+00j)	 (5.62322e+01-7.46281e+00j)	 (5.05183e+01+1.33943e-01j)	 (4.95393e+01+1.00617e+01j)	 (5.05183e+01+1.33943e-01j)	 (3.73456e+00-9.39514e+00j)	 (-2.60269e-02+2.80133e-01j)	 (-1.00021e+00+9.34018e-04j)	 (-5.36407e-03+2.33454e-02j)	 (4.95488e+01+1.00621e+01j)
 (7.91500e+07+0.00000e+00j)	 (5.63578e+01-1.01558e+01j)	 (5.05970e+01+1.83609e-01j)	 (5.05608e+01+9.31566e+00j)	 (5.05970e+01+1.83609e-01j)	 (2.35251e+00-1.03773e+01j)	 (1.37360e-01+2.53110e-01j)	 (-1.00053e+00+1.05307e-03j)	 (-1.32090e-02+2.63129e-02j)	 (5.05698e+01+9.31794e+00j)
