#FMR data from 2020-12-01 13:14:31.326290, this file includes calibration measurements, correction factor and corrected S11
freq	S11o	S11l	S11s	Edf	Erf	Esf	S11a	Za	S11m
 (4.00000e+07+0.00000e+00j)	 (5.86961e+01+5.30963e+00j)	 (4.99399e+01+4.12378e-02j)	 (4.56667e+01+1.31068e-01j)	 (4.99399e+01+4.12378e-02j)	 (6.16731e+00+8.83713e-01j)	 (4.38289e-01+2.37042e-01j)	 (-1.00194e+00+1.22813e-03j)	 (-4.83708e-02+3.06440e-02j)	 (4.56618e+01+1.35645e-01j)
 (8.99000e+07+0.00000e+00j)	 (4.53837e+01-1.56876e+01j)	 (5.07569e+01+2.97708e-01j)	 (5.19919e+01+9.70914e+00j)	 (5.07569e+01+2.97708e-01j)	 (-2.42602e+00-1.19562e+01j)	 (2.82141e-01-8.95292e-02j)	 (-1.00076e+00-6.33577e-04j)	 (-1.89176e-02-1.58275e-02j)	 (5.19875e+01+9.71500e+00j)
 (1.39800e+08+0.00000e+00j)	 (3.15946e+01+4.50859e+00j)	 (4.99202e+01-3.12548e-01j)	 (6.51424e+01-9.29522e+00j)	 (4.99202e+01-3.12548e-01j)	 (-1.70074e+01+7.19082e+00j)	 (3.54630e-02+1.38640e-01j)	 (-1.00031e+00-1.03640e-03j)	 (-7.84589e-03-2.59019e-02j)	 (6.51574e+01-9.28471e+00j)
 (1.89700e+08+0.00000e+00j)	 (6.29500e+01+2.59045e+01j)	 (5.07073e+01-1.89967e+00j)	 (3.67789e+01-1.43952e+01j)	 (5.07073e+01-1.89967e+00j)	 (1.48480e+01+1.84220e+01j)	 (2.48079e-01+2.02935e-01j)	 (-1.00070e+00-2.07638e-03j)	 (-1.75748e-02-5.18731e-02j)	 (3.67867e+01-1.44267e+01j)
 (2.39600e+08+0.00000e+00j)	 (7.05399e+01-3.24742e+01j)	 (4.92676e+01+8.34624e-01j)	 (3.04270e+01+1.35343e+01j)	 (4.92676e+01+8.34624e-01j)	 (2.16922e+01-1.98788e+01j)	 (2.80673e-01-1.91856e-01j)	 (-1.00076e+00-2.45498e-03j)	 (-1.91242e-02-6.13277e-02j)	 (3.03964e+01+1.35012e+01j)
 (2.89500e+08+0.00000e+00j)	 (2.44739e+01-1.45860e+01j)	 (4.82158e+01-1.69168e+00j)	 (7.90893e+01+3.04813e+01j)	 (4.82158e+01-1.69168e+00j)	 (-2.78191e+01-1.95942e+01j)	 (-2.50970e-01-1.45895e-01j)	 (-1.00078e+00-3.34500e-03j)	 (-1.96175e-02-8.35595e-02j)	 (7.89496e+01+3.06252e+01j)
 (3.39400e+08+0.00000e+00j)	 (2.60985e+01+2.26008e+01j)	 (5.08937e+01+1.74094e+00j)	 (4.97930e+01-4.17721e+01j)	 (5.08937e+01+1.74094e+00j)	 (-1.94764e+01+3.62174e+01j)	 (-1.79513e-01+4.68352e-01j)	 (-1.00137e+00-5.26596e-03j)	 (-3.44670e-02-1.31469e-01j)	 (4.99683e+01-4.19522e+01j)
 (3.89300e+08+0.00000e+00j)	 (9.49168e+01+5.26247e+01j)	 (4.55408e+01+1.48595e+00j)	 (1.78227e+01-1.84095e+00j)	 (4.55408e+01+1.48595e+00j)	 (4.00776e+01+1.27199e+01j)	 (4.79662e-01+2.81302e-01j)	 (-1.00173e+00-5.91946e-03j)	 (-4.35429e-02-1.47730e-01j)	 (1.77830e+01-1.94815e+00j)
 (4.39200e+08+0.00000e+00j)	 (3.53005e+01-5.21981e+01j)	 (5.29958e+01-1.29172e+00j)	 (3.57644e+01+4.38520e+01j)	 (5.29958e+01-1.29172e+00j)	 (1.89331e+00-5.41921e+01j)	 (6.17506e-02-3.63331e-01j)	 (-1.00168e+00-8.66255e-03j)	 (-4.29532e-02-2.16196e-01j)	 (3.54322e+01+4.36698e+01j)
 (4.89100e+08+0.00000e+00j)	 (1.41624e+01+5.08324e+00j)	 (5.27643e+01+5.22480e+00j)	 (1.33892e+02-5.17025e+01j)	 (5.27643e+01+5.22480e+00j)	 (-5.69545e+01+9.50336e+00j)	 (-4.74509e-01+2.51596e-01j)	 (-1.00207e+00-1.25091e-02j)	 (-5.36160e-02-3.12068e-01j)	 (1.35936e+02-5.09472e+01j)
 (5.39000e+08+0.00000e+00j)	 (3.27182e+01+5.41463e+01j)	 (4.89526e+01-4.91142e+00j)	 (1.56493e+01-2.45407e+01j)	 (4.89526e+01-4.91142e+00j)	 (3.10573e+01+4.99441e+01j)	 (3.48135e-01+7.05072e-01j)	 (-1.00203e+00-1.47139e-02j)	 (-5.34849e-02-3.67082e-01j)	 (1.56140e+01-2.49178e+01j)
 (5.88900e+08+0.00000e+00j)	 (1.30723e+02-1.25236e+02j)	 (5.68952e+01-9.92636e-01j)	 (1.56293e+01+2.47324e+01j)	 (5.68952e+01-9.92636e-01j)	 (5.80069e+01-4.65125e+01j)	 (5.18295e-01-1.80642e-01j)	 (-1.00464e+00-1.97188e-02j)	 (-1.20454e-01-4.90646e-01j)	 (1.52272e+01+2.42316e+01j)
 (6.38800e+08+0.00000e+00j)	 (1.14143e+01-2.65082e+01j)	 (4.43465e+01+3.60145e-01j)	 (7.64335e+01+9.43568e+01j)	 (4.43465e+01+3.60145e-01j)	 (-4.06499e+01-4.61730e+01j)	 (-4.27829e-01-2.37143e-01j)	 (-1.00797e+00-2.29455e-02j)	 (-2.04897e-01-5.69019e-01j)	 (7.27024e+01+9.53263e+01j)
 (6.88700e+08+0.00000e+00j)	 (1.03858e+01+1.21968e+01j)	 (5.19421e+01-7.38443e+00j)	 (2.28486e+01-6.56872e+01j)	 (5.19421e+01-7.38443e+00j)	 (-3.69817e+01+6.62807e+01j)	 (-3.43227e-01+9.62037e-01j)	 (-1.01387e+00-2.93314e-02j)	 (-3.54805e-01-7.23068e-01j)	 (2.22513e+01-6.74269e+01j)
 (7.38600e+08+0.00000e+00j)	 (3.02478e+01+9.46093e+01j)	 (4.69373e+01+7.18595e+00j)	 (7.89676e+00-2.06593e-01j)	 (4.69373e+01+7.18595e+00j)	 (5.96241e+01+4.14314e+01j)	 (6.68369e-01+7.45326e-01j)	 (-1.02406e+00-3.75518e-02j)	 (-6.11382e-01-9.16293e-01j)	 (7.18594e+00-8.60720e-01j)
 (7.88500e+08+0.00000e+00j)	 (1.66937e+01-7.54687e+01j)	 (4.15734e+01-2.79742e+00j)	 (1.52775e+01+3.99588e+01j)	 (4.15734e+01-2.79742e+00j)	 (1.38775e+01-6.53433e+01j)	 (2.53689e-01-4.46469e-01j)	 (-1.04546e+00-4.26022e-02j)	 (-1.13244e+00-1.01780e+00j)	 (1.29892e+01+3.97875e+01j)
 (8.38400e+08+0.00000e+00j)	 (6.56410e+00-1.06979e+01j)	 (5.84888e+01+5.18545e+00j)	 (2.88116e+02-1.72169e+02j)	 (5.84888e+01+5.18545e+00j)	 (-9.58424e+01-1.54578e+01j)	 (-7.71135e-01+2.44082e-01j)	 (-1.07448e+00-3.22183e-02j)	 (-1.80666e+00-7.48481e-01j)	 (3.16418e+02-2.48770e+02j)
 (8.88300e+08+0.00000e+00j)	 (5.04546e+00+3.61273e+01j)	 (4.47874e+01+6.11937e+00j)	 (9.34665e+00-2.65925e+01j)	 (4.47874e+01+6.11937e+00j)	 (-2.30498e+00+7.63733e+01j)	 (3.89096e-02+1.19604e+00j)	 (-1.09347e+00+8.08875e-05j)	 (-2.23251e+00+1.84564e-03j)	 (6.68287e+00-2.61811e+01j)
 (9.38200e+08+0.00000e+00j)	 (1.31564e+03-2.50041e+02j)	 (5.51008e+01-9.45017e+00j)	 (9.45065e+00+1.38209e+01j)	 (5.51008e+01-9.45017e+00j)	 (8.83999e+01-4.38748e+01j)	 (9.25927e-01+2.06685e-02j)	 (-1.08926e+00+3.52872e-02j)	 (-2.14985e+00+8.08178e-01j)	 (7.82212e+00+1.56481e+01j)
 (9.88100e+08+0.00000e+00j)	 (1.06051e+01-5.73704e+01j)	 (5.58136e+01+7.90818e+00j)	 (3.66695e+01+1.29153e+02j)	 (5.58136e+01+7.90818e+00j)	 (-3.16006e+01-9.85613e+01j)	 (-2.47014e-01-3.79528e-01j)	 (-1.07305e+00+5.87799e-02j)	 (-1.80057e+00+1.36666e+00j)	 (3.69142e+01+1.43295e+02j)
 (1.03800e+09+0.00000e+00j)	 (3.53936e+00+2.03420e+00j)	 (4.41255e+01-6.16462e+00j)	 (8.07269e+00-6.92530e+01j)	 (4.41255e+01-6.16462e+00j)	 (-5.97685e+01+5.93647e+01j)	 (-6.98785e-01+1.11951e+00j)	 (-1.05524e+00+7.13275e-02j)	 (-1.40243e+00+1.68659e+00j)	 (6.02277e+00-6.45506e+01j)
 (1.08790e+09+0.00000e+00j)	 (8.34565e+00+8.84973e+01j)	 (5.75006e+01-5.21597e+00j)	 (3.78794e+00-1.27231e+01j)	 (5.75006e+01-5.21597e+00j)	 (8.90115e+01+7.00769e+01j)	 (8.04277e-01+1.05249e+00j)	 (-1.03832e+00+8.16548e-02j)	 (-1.01853e+00+1.96219e+00j)	 (3.59369e+00-1.04859e+01j)
 (1.13780e+09+0.00000e+00j)	 (3.14806e+01-1.96856e+02j)	 (4.09526e+01+3.98700e+00j)	 (3.50282e+00+3.63359e+01j)	 (4.09526e+01+3.98700e+00j)	 (5.40528e+01-6.52502e+01j)	 (6.88504e-01-2.83820e-01j)	 (-1.01818e+00+9.18678e-02j)	 (-5.52836e-01+2.25084e+00j)	 (4.32835e+00+3.89146e+01j)
 (1.18770e+09+0.00000e+00j)	 (1.12932e+00-2.37888e+01j)	 (4.59370e+01-4.39461e+00j)	 (1.13892e+02-4.49114e+02j)	 (4.59370e+01-4.39461e+00j)	 (-9.53508e+01-2.95955e+01j)	 (-1.03302e+00+2.19452e-01j)	 (-9.89932e-01+9.74838e-02j)	 (1.32669e-01+2.45592e+00j)	 (1.07672e+02-3.10584e+02j)
 (1.23760e+09+0.00000e+00j)	 (4.46091e-01+2.77962e+01j)	 (5.08772e+01+9.21959e+00j)	 (1.27039e+00-3.57310e+01j)	 (5.08772e+01+9.21959e+00j)	 (-4.09861e+01+1.05581e+02j)	 (-3.94661e-01+1.57984e+00j)	 (-9.54806e-01+8.40715e-02j)	 (1.06152e+00+2.19603e+00j)	 (4.11935e+00-3.33369e+01j)
 (1.28750e+09+0.00000e+00j)	 (-6.83041e+00+1.67354e+02j)	 (4.52336e+01+9.43614e-01j)	 (-3.84501e-02+1.19171e+01j)	 (4.52336e+01+9.43614e-01j)	 (1.04387e+02+2.27031e+00j)	 (1.16633e+00+5.75246e-01j)	 (-9.34720e-01+5.24494e-02j)	 (1.64912e+00+1.40019e+00j)	 (1.71403e+00+1.23053e+01j)
 (1.33740e+09+0.00000e+00j)	 (-3.54134e+00-8.40246e+01j)	 (5.81647e+01+1.72625e+00j)	 (-2.48427e-01+1.23134e+02j)	 (5.81647e+01+1.72625e+00j)	 (-2.18121e+01-1.35656e+02j)	 (-1.62868e-01-5.82429e-01j)	 (-9.38916e-01+2.04114e-02j)	 (1.56949e+00+5.42884e-01j)	 (8.24384e+00+1.21209e+02j)
 (1.38730e+09+0.00000e+00j)	 (-4.03839e-01-2.81718e+00j)	 (5.22807e+01+3.89050e+00j)	 (-4.36734e+00-1.09237e+02j)	 (5.22807e+01+3.89050e+00j)	 (-1.20542e+02+3.73381e+01j)	 (-1.16271e+00+9.84063e-01j)	 (-9.52630e-01+3.60554e-03j)	 (1.21279e+00+9.45646e-02j)	 (1.20529e+00-1.12270e+02j)
 (1.43720e+09+0.00000e+00j)	 (-3.08181e+00+5.56916e+01j)	 (5.44491e+01-7.88047e+00j)	 (-1.12826e+00-1.59235e+01j)	 (5.44491e+01-7.88047e+00j)	 (8.85081e+01+1.01160e+02j)	 (8.17857e-01+1.55708e+00j)	 (-9.64647e-01-2.14955e-03j)	 (8.99658e-01-5.56902e-02j)	 (-4.33338e-01-1.64164e+01j)
 (1.48710e+09+0.00000e+00j)	 (-2.40649e+02-4.12360e+02j)	 (5.11905e+01-3.69229e+00j)	 (5.66831e-01+3.88851e+01j)	 (5.11905e+01-3.69229e+00j)	 (8.77691e+01-9.56834e+01j)	 (9.46514e-01-2.52965e-01j)	 (-9.73516e-01-4.83068e-03j)	 (6.70689e-01-1.24029e-01j)	 (1.23632e+00+3.82555e+01j)
