#FMR data, this file includes calibration measurements, correction factor and corrected S11
S11a	S11m	S11o	S11l
(54.717735290499995-0.19144356250800001j)	(42.20079560715456-3.6949508406881817j)	(54.72530156912726-0.19779394025136365j)	(50.04608154300001-0.04179881513119999j)	
(59.27133178710001+4.926429748540001j)	(37.19628628815456-7.411254536025455j)	(59.27445741133635+4.923947854480002j)	(50.7220306396-0.36901929974600006j)	
(56.3437156677+15.235521316500002j)	(38.64486278183638-17.74190347847273j)	(56.342913540909095+15.231316046272728j)	(50.313877105699994-0.103519625962j)	
(43.1644134521+19.925769805899993j)	(43.90168068625453-23.35398760708182j)	(43.16251442646363+19.92731579867273j)	(48.26108932499999+0.9486779570579997j)	
(31.461351394699996+15.274497032199998j)	(64.61075106532726-33.6716329401j)	(31.4609498111+15.275443337163631j)	(49.361782074000004+0.900860667229j)	
(26.550554275499998+6.001634597779999j)	(107.2137319393636-22.170874335545456j)	(26.549828269236365+6.0018069093845465j)	(52.524433135999985-0.43050664663299987j)	
(22.4981498718-4.925297260279998j)	(106.32421181409089+34.82275702739091j)	(22.500568910063638-4.932062755928182j)	(51.61278152469999-1.25026702881j)	
(19.90417099-15.427288055400002j)	(51.37721321800908+50.64815105089999j)	(19.916334498981822-15.427001346272725j)	(45.45861816410001-1.02469313145j)	
(24.8050575256-28.557714462300005j)	(26.915786222999994+41.038997303318176j)	(24.804469888890903-28.54846104710909j)	(47.4271965027+1.77224755287j)	
(36.510799408000004-49.6508216858j)	(21.379804611218177+33.93971703272728j)	(36.54596710206364-49.67216942525455j)	(56.055355072-0.286975055933j)	
(54.514911651599995-78.67398071290002j)	(14.831961805136364+14.571372552381817j)	(54.58911653-78.6705190485j)	(54.722534179699984-2.5668659210199998j)	
(107.21924591099999-95.03549957280002j)	(9.67729880593182-0.5412486033003637j)	(107.32996507145454-94.95860151811816j)	(44.0978126526-1.6339679956399995j)	
(135.712692261+101.48426818799999j)	(9.792064319957275-15.703934582781818j)	(135.40013538681825+101.50098557900004j)	(44.662914276100004+2.22415018082j)	
(44.6026229858+101.99293518099998j)	(17.052852630654545-41.08670876240908j)	(44.55497949770908+101.96651181345455j)	(55.58696746830001+5.478816986079999j)	
(21.144161224399998+65.74652862549999j)	(22.17156271505455-76.75713417743636j)	(21.108531084972732+65.69688415526365j)	(58.7046585083-0.9539171457289998j)	
(10.139157295200002+26.054046630899997j)	(29.490578738099998-106.72383741927274j)	(10.13508588618182+26.04914197056364j)	(42.75606918329999-5.2698616981500015j)	
(5.356607437130001+14.628932952899996j)	(353.6053411310909-113.27247203454544j)	(5.353860074826365+14.608453143727269j)	(41.539768218999995-0.14017315208899997j)	
(5.5861601829500005+5.824109554289999j)	(42.633342742909086+163.30725652509088j)	(5.588081013074546+5.820757865904545j)	(54.969841003399985+7.2347130775499995j)	
(7.67330360413-12.576051711999998j)	(8.486406933181815+92.66090739854545j)	(7.661046418277274-12.587281140400004j)	(61.54370117189999+0.5255889892579999j)	
(4.643796920779999-24.6798496246j)	(6.922230677168181+35.04061854970909j)	(4.625605279749092-24.69042361863637j)	(45.2585487366-7.321472167969998j)	
(3.4903781413999995-38.65711975099999j)	(4.169557874851818+18.4704296806j)	(3.4814733808681817-38.67495727540001j)	(41.9044151306-1.90729081631j)	
(17.7059383392-103.790809631j)	(2.2553859840754535+10.845920476063636j)	(17.741689508618176-103.91398689945457j)	(52.764110565199985+8.217038154600003j)	
(74.40567016599998-298.688232422j)	(1.8889602856190906-9.686977473169089j)	(74.09387623177274-299.06608997672714j)	(60.7687454224+5.848758697510001j)	
(844.312988281-915.059631348j)	(1.3323036107181818-25.57338385144546j)	(851.0404385655452-923.5845392399998j)	(46.23579406739999-4.612957477569999j)	
(11.396455764799999+164.53254699700003j)	(0.8347731882879091-40.638123252190894j)	(11.282914335063639+164.17932822490909j)	(42.743392944300005-4.79757642746j)	
(0.8380989432329999+73.6633834839j)	(-1.6826963533090908-91.19656441429092j)	(0.8501937010072727+73.5952079079182j)	(50.67665481569999+4.887551784519999j)	
(0.6357899308199998+47.685604095500004j)	(-28.446027929118188-300.3294011898181j)	(0.617872714996+47.65152428366362j)	(54.29214096069999+6.74553632736j)	
(-0.25096419453599994+21.331733703600005j)	(-503.90727927490894+2265.3860307181812j)	(-0.252934978766909+21.30135778944545j)	(47.53440093990002-3.3900649547599997j)	
(-0.29112812876700006+3.3032598495499994j)	(-14.956380497336362+169.42734180827276j)	(-0.2991409030827272+3.2876668409881815j)	(46.959377288800006-7.85866498947j)	
(1.2520700693099995-6.691874027249999j)	(-7.156084364114547+68.79416933928181j)	(1.2423487684972732-6.733373988757275j)	(54.064353942899984+0.885101437569j)	
(1.0058906078300003-18.46272087099999j)	(-2.554972431874545+36.24634135855454j)	(1.0019962570867276-18.48486830971818j)	(50.79131698610001+5.359655857089999j)	
(-0.129840821028-34.75663375850001j)	(-1.2683749307309093+17.88005967575455j)	(-0.11174686998145454-34.799005681809085j)	(46.4644889832+2.9626369476299996j)	
(-1.5555309057199997-70.8993835449j)	(-1.0326916196154543+1.2098086205363636j)	(-1.5795185891054544-71.00524347480003j)	(52.725021362300005-3.9648473262799997j)	
(-5.2963237762499995-148.99859619099996j)	(-2.165350068701818-14.798441453454545j)	(-5.229771007189091-149.3133517174546j)	(55.5074043274-2.9591052532199997j)	
(-105.744407654-1552.70837402j)	(-2.840945373884545-27.096049915645455j)	(-107.43725031090912-1587.4017888845458j)	(46.172103881800005+4.07382678986j)	
(3.741790533070001+190.09773254400002j)	(-1.9999688755354545-43.809906352627266j)	(3.6158942526081814+189.47534040963635j)	(40.111454009999996+2.70107269287j)	
(-1.26257753372+97.37424468990001j)	(-10.811878811190912-101.6684958720909j)	(-1.273498751902727+97.23560402609091j)	(52.48079299929999-0.8796423673629999j)	
(4.394250869749999+64.53054046629998j)	(-135.61534673536366-297.0518521397274j)	(4.399739698929091+64.44059059839998j)	(65.13127136230001-5.68022632599j)	
(2.1185908317599997+27.753318786599994j)	(-34.83284239338182+392.5425886675455j)	(2.0896900567163628+27.69988528167274j)	(46.5564041138-5.294912815090001j)	
(-1.9729115963+12.363194465600001j)	(-3.8354152766163634+87.40905276213637j)	(-1.9742173281618183+12.334844675890915j)	(36.30533218379999+3.2155709266699994j)	
(1.8405146815536366+0.37843507799272724j)	(-5.661433349952728+61.09316531096365j)	(1.828558813442727+0.3359859531571819j)	(53.85562133789998+5.778601169589999j)	
(4.400052980947274-21.861832011872732j)	(-0.20194165679536372+42.11733176490001j)	(4.400524356146364-21.923329613409095j)	(75.076171875-1.1771595478099999j)	
(-0.35617919672581816-33.48880178276363j)	(-0.44077658924218177+12.014235583190908j)	(-0.37483154372736355-33.541510148472724j)	(48.731643676800005-7.042732715609998j)	
(3.7179498238981807-40.577640880263644j)	(-2.7713510773390904-0.13256706974690907j)	(3.711734858428181-40.638717998118196j)	(32.318470001200005+1.2468467950799997j)	
(27.63305334612728-108.35482788072726j)	(0.8104368881742726-13.118637605190905j)	(27.672250227509092-108.7132963702727j)	(46.64096832279999+9.09867858887j)	
(-83.00583509967274-508.1008273035455j)	(-0.2125141525813637-46.18658412590909j)	(-84.64290202744546-510.32163307890914j)	(76.72990417480001+4.300732135769999j)	
(556.444025213+424.399358576091j)	(-7.6497649279481825-62.39912483907273j)	(550.2472478689998+427.44322065863633j)	(52.276763916-11.949440956100004j)	
(28.700701800245458+80.01634008233637j)	(4.4606103030109105-79.52555153586363j)	(28.539928609672735+79.93244101783635j)	(30.0185585022-3.359543323519999j)	
(4.458154634993635+59.557952534045455j)	(323.7896811742728-448.8223932438182j)	(4.426040519364545+59.54052907766365j)	(44.67521286009999+7.765757560729999j)	
(7.553787794981817+53.62099144675454j)	(-66.9546890258818+303.3888494314545j)	(7.534817305476364+53.586592934327264j)	(81.21864318849998+9.633628845209998j)	
(9.09820946779909+17.02019188618182j)	(16.059907046236365+125.0326080320909j)	(9.091869961127276+16.985500509090908j)	(57.245937347400016-12.4916439056j)	
(1.5107311552254548+1.305732044302727j)	(2.2477924606999995+38.923892628054546j)	(1.5135552124527272+1.2876223650827272j)	(33.16478347780001-2.58275866508j)	
(5.212211782277271-6.800722989167275j)	(-1.9428136132000002+27.50210016422726j)	(5.216278899800002-6.819990548218181j)	(41.646476745600005+7.787764549260001j)	
(15.426728161918184-34.8560485839909j)	(3.4014224572572727+18.136736262972725j)	(15.43379436839091-34.899840615036354j)	(75.42884826659999+8.879978179929997j)	
(10.249817241318182-50.08812262793636j)	(3.6170061501563633-3.396407734261818j)	(10.297582192836362-50.15506050805454j)	(55.420860290499995-5.529923915860002j)	
(16.31719225103636-60.026542663536375j)	(-0.6025699702174546-13.192471677572728j)	(16.38400441951818-60.092112801299976j)	(34.949581146199996-2.6518778800999994j)	
(90.0583461414909-104.8500893332727j)	(2.4878898750618172-30.929744720454536j)	(90.34976265646365-104.8534060391818j)	(41.085479736299995+2.6357302665700004j)	
(359.31299105581815+7.864858540625455j)	(17.696057232990917-84.06350985440909j)	(358.8862859552728+8.722318822684546j)	(67.87354278559998+1.6746914386699996j)	
(106.7850889722727+143.06916115463636j)	(21.541663603336357-125.83250496563637j)	(106.28224182090908+142.48057001254546j)	(57.963775634799994-3.881313562389999j)	
(22.187609065690914+50.77107724274545j)	(125.32655403845455-281.0789073600001j)	(22.163822694263633+50.68226484814545j)	(37.507041931199986-1.8090151548400002j)	
(16.01617431636363+38.27031430332728j)	(67.10924530028181+205.87387223699997j)	(16.027558066663637+38.19490606132728j)	(46.04224777220001+1.5318781137500002j)	
(18.248585094118177+30.953650041063643j)	(30.283231215027282+119.54723219418183j)	(18.257454265281815+30.91845703121818j)	(66.48080444339999+0.6457565426830002j)	
(12.423029552827272+9.452576637271816j)	(13.851623535190914+59.376320232081824j)	(12.415031953309091+9.387385801832725j)	(54.81675338749999-1.6296986341499995j)	
(8.931300770150909-2.2662966468099994j)	(4.4347043470936365+24.540396430254543j)	(8.953070640560906-2.301643740046363j)	(39.1360397339+3.0497283935500006j)	
(13.168425820100001-14.277081056081817j)	(5.564855705610909+12.779147408236364j)	(13.190600048409094-14.36525154111818j)	(45.025932312+2.8503301143600006j)	
(19.111627752145456-46.14059968431819j)	(6.382741364568181-1.9557459246063633j)	(19.151983607890912-46.26313851097272j)	(64.77622985840001-5.804700851440001j)	
(27.91064869272727-59.961293307199995j)	(1.6997642842190905-14.537930055118185j)	(28.027429060536367-60.03338761765455j)	(49.7288780212-1.91856622696j)	
(58.99200820926364-61.93702767111819j)	(4.664161898873637-24.87200494245454j)	(59.20739052514545-61.97583805429999j)	(39.03717803960001+3.61199021339j)	
(147.40829190363635-57.86814811015454j)	(15.842506928863637-52.0223884582909j)	(147.58204234709095-57.23542820320909j)	(48.85547256470001+1.6868329048199997j)	
(210.11028081727278+60.51822454281818j)	(18.39654332943636-116.90848402572729j)	(209.4876223474545+62.492312344672726j)	(63.341129303-10.028859138499998j)	
(60.908416401254556+65.96351415456363j)	(149.18396828418182-227.80537692000004j)	(61.06471356475454+65.85419880257272j)	(49.9072265625-2.8014020919800005j)	
(22.48581955647273+44.29787930574546j)	(123.40472481463638+165.07936234890914j)	(22.473382776445458+44.208312988281826j)	(41.65974807740002+7.344367504119998j)	
(19.499678351627274+30.814229965209098j)	(35.652115561727264+132.46664151290912j)	(19.465216203181814+30.710303393290914j)	(52.244819641099994+1.8950464725500002j)	
(19.497224807745454+11.463672117727274j)	(16.16968987207273+77.00326884877275j)	(19.478561054563635+11.390646154236363j)	(58.1578788757-8.23640346527j)	
(13.726245620045459+0.7187320319088182j)	(8.468458782542728+33.19026184084545j)	(13.719996452318183+0.6679544340482727j)	(47.5173377991-1.02412378788j)	
(13.222020495999999-3.2664309631681827j)	(5.062020691961818+21.27522451228182j)	(13.245010722763634-3.310978434303636j)	(42.29684448239999+9.707036018370003j)	
(20.61509669914546-24.424653833536354j)	(6.983180349522726+5.5631018551890925j)	(20.67375547236363-24.493766611263638j)	(52.81528472899999+1.68047785759j)	
(22.03916428305455-48.066628542781814j)	(5.762360616162728-16.292299617454542j)	(22.120944283236362-48.17243125223637j)	(51.82039642329999-14.169691085799997j)	
(39.68085618449091-55.77839001738182j)	(5.789226575331821-20.845675034927268j)	(39.87476452914545-55.85835682261818j)	(44.65755081179999-0.9330422282220001j)	
